start_date,end_date,country,clicks,impressions,ctr,position
2024-09-18,2024-09-24,can,0,1,0,44
2024-10-16,2024-10-22,can,0,1,0,57
2024-10-23,2024-10-29,can,0,2,0,46.5
2024-10-30,2024-11-05,can,0,1,0,46
2024-11-13,2024-11-19,can,0,1,0,87
2024-12-11,2024-12-17,can,0,1,0,84
2024-12-18,2024-12-24,can,0,1,0,78
2024-12-25,2024-12-31,can,0,1,0,97
2025-01-01,2025-01-07,can,0,6,0,22.5
2025-01-08,2025-01-14,can,0,10,0,80.1
2025-01-15,2025-01-21,can,0,16,0,85.75
2025-01-22,2025-01-28,can,0,5,0,84.8
2025-01-29,2025-02-04,can,0,1,0,69
2025-02-12,2025-02-18,can,0,3,0,76.66666666666667
2025-02-19,2025-02-25,can,0,5,0,75.6
2025-02-26,2025-03-04,can,0,5,0,79
2025-03-05,2025-03-11,can,0,7,0,79.14285714285714
2025-03-12,2025-03-18,can,0,2,0,62
2025-03-19,2025-03-25,can,0,2,0,76
2025-03-26,2025-04-01,can,0,2,0,100
2025-04-02,2025-04-08,can,0,8,0,72.5
2025-04-09,2025-04-15,can,0,14,0,68.85714285714286
2025-04-16,2025-04-22,can,0,5,0,73.4
2025-04-23,2025-04-29,can,0,5,0,74.2
2025-04-30,2025-05-06,can,0,1,0,96
2025-05-07,2025-05-13,can,0,3,0,76.33333333333333
2025-05-14,2025-05-20,can,0,2,0,75.5
2025-05-28,2025-06-03,can,0,1,0,56
2025-06-04,2025-06-10,can,0,5,0,72.8
2025-06-11,2025-06-17,can,0,4,0,75.75
2025-06-18,2025-06-24,can,0,1,0,40
2025-06-25,2025-07-01,can,0,2,0,77.5
2025-07-02,2025-07-08,can,0,2,0,43
2025-07-09,2025-07-15,can,0,1,0,75
2025-07-16,2025-07-22,can,0,2,0,48.5
