start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,chl,0,1,0,25
2024-05-08,2024-05-14,chl,0,1,0,17
2024-05-15,2024-05-21,chl,0,1,0,35
2024-05-22,2024-05-28,chl,0,1,0,26
2024-05-29,2024-06-04,chl,0,1,0,52
2024-06-05,2024-06-11,chl,0,2,0,33.5
2024-06-12,2024-06-18,chl,0,1,0,19
2024-06-19,2024-06-25,chl,0,1,0,13
2024-06-26,2024-07-02,chl,0,1,0,34
2024-07-03,2024-07-09,chl,0,1,0,25
2024-07-10,2024-07-16,chl,0,1,0,21
2024-07-17,2024-07-23,chl,0,1,0,18
2024-07-24,2024-07-30,chl,0,1,0,11
2024-07-31,2024-08-06,chl,0,2,0,12
2024-08-07,2024-08-13,chl,0,1,0,18
