start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,col,0,2,0,80.5
2024-05-08,2024-05-14,col,0,2,0,91.5
2024-05-15,2024-05-21,col,0,1,0,15
2024-05-22,2024-05-28,col,0,1,0,18
2024-05-29,2024-06-04,col,0,1,0,15
2024-06-05,2024-06-11,col,0,1,0,16
2024-06-12,2024-06-18,col,0,3,0,67.33333333333333
2024-06-19,2024-06-25,col,0,1,0,100
2024-06-26,2024-07-02,col,0,1,0,98
2024-07-03,2024-07-09,col,0,2,0,67
2024-07-10,2024-07-16,col,0,1,0,84
2024-07-17,2024-07-23,col,0,3,0,88.33333333333333
2024-07-24,2024-07-30,col,0,2,0,91
2024-07-31,2024-08-06,col,0,1,0,75
