start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,0,2,0,90
2024-05-08,2024-05-14,esp,0,2,0,90
2024-05-15,2024-05-21,esp,0,5,0,82.4
2024-05-22,2024-05-28,esp,0,2,0,88.5
2024-05-29,2024-06-04,esp,0,5,0,69.4
2024-06-05,2024-06-11,esp,0,1,0,84
2024-06-12,2024-06-18,esp,0,6,0,77.66666666666667
2024-06-19,2024-06-25,esp,0,3,0,79.33333333333333
2024-06-26,2024-07-02,esp,0,3,0,81
2024-07-03,2024-07-09,esp,0,2,0,93
2024-07-10,2024-07-16,esp,0,5,0,57.6
2024-07-17,2024-07-23,esp,0,6,0,69.5
2024-07-24,2024-07-30,esp,0,5,0,74.6
2024-07-31,2024-08-06,esp,0,7,0,61.714285714285715
2024-08-07,2024-08-13,esp,0,11,0,78.54545454545455
2024-08-14,2024-08-20,esp,0,10,0,74.2
2024-08-21,2024-08-27,esp,0,7,0,66
2024-08-28,2024-09-03,esp,0,2,0,67.5
2024-09-04,2024-09-10,esp,0,4,0,65.75
2024-09-11,2024-09-17,esp,0,4,0,66
2024-09-18,2024-09-24,esp,0,3,0,80
2024-09-25,2024-10-01,esp,0,7,0,78.57142857142857
2024-10-02,2024-10-08,esp,0,4,0,77.25
2024-10-09,2024-10-15,esp,0,3,0,51.333333333333336
2024-10-16,2024-10-22,esp,0,4,0,53.75
2024-10-23,2024-10-29,esp,0,7,0,58.285714285714285
2024-10-30,2024-11-05,esp,0,6,0,63.833333333333336
2024-11-06,2024-11-12,esp,0,5,0,70.8
2024-11-13,2024-11-19,esp,0,9,0,55.888888888888886
2024-11-20,2024-11-26,esp,0,12,0,59.166666666666664
2024-11-27,2024-12-03,esp,0,13,0,53.61538461538461
2024-12-04,2024-12-10,esp,0,7,0,61.285714285714285
2024-12-11,2024-12-17,esp,0,5,0,67.4
2024-12-18,2024-12-24,esp,0,12,0,66.58333333333333
2024-12-25,2024-12-31,esp,0,11,0,62.36363636363637
2025-01-01,2025-01-07,esp,0,7,0,63.857142857142854
2025-01-08,2025-01-14,esp,0,5,0,60.2
2025-01-15,2025-01-21,esp,0,7,0,56.57142857142857
2025-01-22,2025-01-28,esp,0,5,0,55.4
2025-01-29,2025-02-04,esp,0,1,0,87
2025-02-05,2025-02-11,esp,0,7,0,63.857142857142854
2025-02-12,2025-02-18,esp,0,5,0,67.4
2025-02-19,2025-02-25,esp,0,3,0,63.666666666666664
2025-02-26,2025-03-04,esp,0,1,0,86
2025-03-05,2025-03-11,esp,0,7,0,65.28571428571429
2025-03-12,2025-03-18,esp,0,1,0,86
2025-03-19,2025-03-25,esp,0,3,0,59.333333333333336
2025-03-26,2025-04-01,esp,0,3,0,72
2025-04-02,2025-04-08,esp,0,1,0,38
2025-04-09,2025-04-15,esp,0,2,0,59
2025-04-16,2025-04-22,esp,0,3,0,68
2025-04-23,2025-04-29,esp,0,6,0,64.83333333333334
2025-04-30,2025-05-06,esp,0,1,0,32
2025-05-07,2025-05-13,esp,0,7,0,55.42857142857143
2025-05-14,2025-05-20,esp,0,3,0,68.66666666666667
2025-05-21,2025-05-27,esp,0,2,0,68.5
2025-05-28,2025-06-03,esp,0,3,0,55
2025-06-04,2025-06-10,esp,0,3,0,52
2025-06-11,2025-06-17,esp,0,2,0,53
2025-06-18,2025-06-24,esp,0,1,0,70
2025-06-25,2025-07-01,esp,0,4,0,75.25
2025-07-02,2025-07-08,esp,0,1,0,76
2025-07-09,2025-07-15,esp,0,4,0,72.75
