start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,0,2,0,45
2024-05-08,2024-05-14,esp,0,1,0,52
2024-05-15,2024-05-21,esp,0,4,0,47.75
2024-05-22,2024-05-28,esp,0,3,0,40.333333333333336
2024-05-29,2024-06-04,esp,0,7,0,51.57142857142857
2024-06-05,2024-06-11,esp,0,6,0,45.333333333333336
2024-06-12,2024-06-18,esp,0,6,0,41.833333333333336
2024-06-19,2024-06-25,esp,0,4,0,61
2024-06-26,2024-07-02,esp,0,1,0,72
2024-07-03,2024-07-09,esp,0,3,0,64.33333333333334
2024-07-10,2024-07-16,esp,0,4,0,44.25
2024-07-17,2024-07-23,esp,0,4,0,69.25
2024-07-24,2024-07-30,esp,0,2,0,38
2024-07-31,2024-08-06,esp,0,3,0,87
2024-08-07,2024-08-13,esp,0,3,0,55.666666666666664
2024-08-14,2024-08-20,esp,0,4,0,50.5
2024-08-21,2024-08-27,esp,0,2,0,53
2024-08-28,2024-09-03,esp,0,3,0,54.333333333333336
2024-09-04,2024-09-10,esp,0,1,0,46
2024-09-11,2024-09-17,esp,0,6,0,46.833333333333336
2024-09-18,2024-09-24,esp,0,5,0,53.6
2024-09-25,2024-10-01,esp,0,4,0,37.5
2024-10-02,2024-10-08,esp,0,12,0,59.833333333333336
2024-10-09,2024-10-15,esp,0,3,0,37.666666666666664
2024-10-16,2024-10-22,esp,0,7,0,50.857142857142854
2024-10-23,2024-10-29,esp,0,5,0,55
2024-10-30,2024-11-05,esp,0,3,0,21.333333333333332
2024-11-06,2024-11-12,esp,0,1,0,23
2024-11-13,2024-11-19,esp,0,3,0,23.333333333333332
