start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,0,15,0,36.8
2024-05-08,2024-05-14,esp,0,15,0,40.86666666666667
2024-05-15,2024-05-21,esp,0,22,0,41.09090909090909
2024-05-22,2024-05-28,esp,0,15,0,38.666666666666664
2024-05-29,2024-06-04,esp,0,23,0,42.04347826086956
2024-06-05,2024-06-11,esp,0,18,0,44.55555555555556
2024-06-12,2024-06-18,esp,0,12,0,38.666666666666664
2024-06-19,2024-06-25,esp,0,19,0,51
2024-06-26,2024-07-02,esp,0,25,0,46.28
2024-07-03,2024-07-09,esp,0,19,0,48.473684210526315
2024-07-10,2024-07-16,esp,0,18,0,53
2024-07-17,2024-07-23,esp,0,13,0,55.07692307692308
2024-07-24,2024-07-30,esp,0,11,0,54.90909090909091
2024-07-31,2024-08-06,esp,0,13,0,48.53846153846154
2024-08-07,2024-08-13,esp,0,18,0,62.888888888888886
2024-08-14,2024-08-20,esp,0,17,0,51.294117647058826
2024-08-21,2024-08-27,esp,0,16,0,64.625
2024-08-28,2024-09-03,esp,0,12,0,61.333333333333336
2024-09-04,2024-09-10,esp,0,12,0,63.833333333333336
2024-09-11,2024-09-17,esp,0,15,0,54.53333333333333
2024-09-18,2024-09-24,esp,0,18,0,51.333333333333336
2024-09-25,2024-10-01,esp,0,21,0,52.95238095238095
2024-10-02,2024-10-08,esp,0,33,0,49.03030303030303
2024-10-09,2024-10-15,esp,0,25,0,53.72
2024-10-16,2024-10-22,esp,0,21,0,46
2024-10-23,2024-10-29,esp,0,40,0,48.5
2024-10-30,2024-11-05,esp,0,18,0,41.05555555555556
2024-11-06,2024-11-12,esp,0,26,0,54.5
2024-11-13,2024-11-19,esp,0,32,0,49.46875
2024-11-20,2024-11-26,esp,0,19,0,50.05263157894737
2024-11-27,2024-12-03,esp,0,27,0,45.7037037037037
2024-12-04,2024-12-10,esp,0,24,0,45.333333333333336
2024-12-11,2024-12-17,esp,0,45,0,51.77777777777778
2024-12-18,2024-12-24,esp,0,16,0,47.0625
2024-12-25,2024-12-31,esp,0,14,0,59.07142857142857
2025-01-01,2025-01-07,esp,0,28,0,50.32142857142857
2025-01-08,2025-01-14,esp,0,22,0,52.59090909090909
2025-01-15,2025-01-21,esp,0,19,0,51.94736842105263
2025-01-22,2025-01-28,esp,0,16,0,49.1875
2025-01-29,2025-02-04,esp,0,29,0,54.37931034482759
2025-02-05,2025-02-11,esp,0,22,0,49.18181818181818
2025-02-12,2025-02-18,esp,0,17,0,51.11764705882353
2025-02-19,2025-02-25,esp,0,11,0,35.27272727272727
2025-02-26,2025-03-04,esp,0,13,0,63.38461538461539
2025-03-05,2025-03-11,esp,0,14,0,54.142857142857146
2025-03-12,2025-03-18,esp,0,8,0,57.5
2025-03-19,2025-03-25,esp,0,11,0,44.18181818181818
2025-03-26,2025-04-01,esp,0,15,0,41
2025-04-02,2025-04-08,esp,0,12,0,33.5
2025-04-09,2025-04-15,esp,0,10,0,30.2
2025-04-16,2025-04-22,esp,0,43,0,25.53488372093023
2025-04-23,2025-04-29,esp,0,73,0,30.684931506849313
2025-04-30,2025-05-06,esp,0,25,0,31.84
2025-05-07,2025-05-13,esp,0,27,0,35.25925925925926
2025-05-14,2025-05-20,esp,0,28,0,36.67857142857143
2025-05-21,2025-05-27,esp,0,4,0,24.75
2025-05-28,2025-06-03,esp,0,1,0,50
2025-06-04,2025-06-10,esp,0,15,0,35.4
