start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,0,1,0,33
2024-05-08,2024-05-14,esp,0,2,0,31
2024-05-15,2024-05-21,esp,0,3,0,56.666666666666664
2024-05-22,2024-05-28,esp,0,6,0,39.333333333333336
2024-05-29,2024-06-04,esp,0,4,0,37.25
2024-06-05,2024-06-11,esp,0,8,0,43.375
2024-06-12,2024-06-18,esp,0,3,0,35.666666666666664
2024-06-19,2024-06-25,esp,0,3,0,40
2024-06-26,2024-07-02,esp,0,7,0,34.42857142857143
2024-07-03,2024-07-09,esp,0,3,0,57.333333333333336
2024-07-10,2024-07-16,esp,0,5,0,44.4
2024-07-17,2024-07-23,esp,0,5,0,59.4
2024-07-24,2024-07-30,esp,0,4,0,11.5
2024-07-31,2024-08-06,esp,0,3,0,47.666666666666664
