start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,esp,0,2,0,49
2024-05-08,2024-05-14,esp,0,1,0,72
2024-05-15,2024-05-21,esp,0,1,0,76
2024-05-22,2024-05-28,esp,0,1,0,81
2024-05-29,2024-06-04,esp,0,1,0,6
2024-06-05,2024-06-11,esp,0,2,0,62
2024-06-12,2024-06-18,esp,0,2,0,62
2024-06-19,2024-06-25,esp,0,2,0,40
2024-06-26,2024-07-02,esp,0,1,0,35
2024-07-03,2024-07-09,esp,0,1,0,7
2024-07-10,2024-07-16,esp,0,1,0,11
2024-07-17,2024-07-23,esp,0,1,0,96
2024-07-24,2024-07-30,esp,0,1,0,62
2024-07-31,2024-08-06,esp,0,1,0,68
2024-08-07,2024-08-13,esp,0,1,0,38
