start_date,end_date,country,clicks,impressions,ctr,position
2025-04-02,2025-04-08,mex,0,4,0,24.25
2025-04-09,2025-04-15,mex,0,7,0,4.428571428571429
2025-04-16,2025-04-22,mex,0,19,0,5.2105263157894735
2025-04-23,2025-04-29,mex,0,8,0,6.5
2025-04-30,2025-05-06,mex,0,8,0,4.625
2025-05-07,2025-05-13,mex,0,6,0,4.666666666666666
2025-05-14,2025-05-20,mex,0,10,0,3.7
2025-05-21,2025-05-27,mex,0,7,0,6
2025-05-28,2025-06-03,mex,0,12,0,6.916666666666667
2025-06-04,2025-06-10,mex,0,8,0,3.375
2025-06-11,2025-06-17,mex,0,9,0,13.11111111111111
2025-06-18,2025-06-24,mex,0,12,0,50.75
2025-06-25,2025-07-01,mex,0,7,0,28.857142857142858
2025-07-02,2025-07-08,mex,0,11,0,11.545454545454545
2025-07-09,2025-07-15,mex,0,1,0,48
2025-07-16,2025-07-22,mex,0,2,0,72.5
2025-07-23,2025-07-29,mex,0,1,0,54
2025-07-30,2025-08-05,mex,0,10,0,26.6
2025-08-06,2025-08-12,mex,0,1,0,52
2025-08-13,2025-08-19,mex,0,3,0,75.33333333333333
2025-08-20,2025-08-23,mex,0,4,0,87.75
