start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,45
2024-05-08,2024-05-14,mex,0,5,0,63.6
2024-05-15,2024-05-21,mex,0,8,0,63.5
2024-05-22,2024-05-28,mex,0,7,0,65.85714285714286
2024-05-29,2024-06-04,mex,0,8,0,60.75
2024-06-05,2024-06-11,mex,0,7,0,60.57142857142857
2024-06-12,2024-06-18,mex,0,3,0,58
2024-06-19,2024-06-25,mex,0,9,0,51.666666666666664
2024-06-26,2024-07-02,mex,0,1,0,56
2024-07-03,2024-07-09,mex,0,2,0,60.5
2024-07-10,2024-07-16,mex,0,7,0,67.28571428571429
2024-07-17,2024-07-23,mex,0,8,0,64.875
2024-07-24,2024-07-30,mex,0,8,0,61.875
2024-07-31,2024-08-06,mex,0,9,0,54.55555555555556
2024-08-07,2024-08-13,mex,0,3,0,57.666666666666664
2024-08-14,2024-08-20,mex,0,11,0,54.90909090909091
2024-08-21,2024-08-27,mex,0,3,0,60.333333333333336
2024-08-28,2024-09-03,mex,0,1,0,50
2024-09-04,2024-09-10,mex,0,1,0,49
2024-09-11,2024-09-17,mex,0,3,0,79.33333333333333
2024-09-18,2024-09-24,mex,0,4,0,71.5
2024-09-25,2024-10-01,mex,0,1,0,11
2024-10-02,2024-10-08,mex,0,2,0,55
2024-10-09,2024-10-15,mex,0,2,0,40.5
2024-10-16,2024-10-22,mex,0,1,0,84
2024-10-23,2024-10-29,mex,0,2,0,38.5
2024-10-30,2024-11-05,mex,0,3,0,33.333333333333336
2024-11-06,2024-11-12,mex,0,2,0,11.5
2024-11-13,2024-11-19,mex,0,1,0,11
2024-11-20,2024-11-26,mex,0,1,0,11
2024-11-27,2024-12-03,mex,0,2,0,45.5
2024-12-04,2024-12-10,mex,0,3,0,22.666666666666668
2024-12-11,2024-12-17,mex,0,2,0,28
2024-12-18,2024-12-24,mex,0,1,0,51
2024-12-25,2024-12-31,mex,0,2,0,23.5
2025-01-01,2025-01-07,mex,0,3,0,14
2025-01-08,2025-01-14,mex,0,2,0,56.5
2025-01-15,2025-01-21,mex,0,2,0,6
2025-01-22,2025-01-28,mex,0,1,0,7
2025-01-29,2025-02-04,mex,0,3,0,28.333333333333332
2025-02-05,2025-02-11,mex,0,2,0,19.5
2025-02-12,2025-02-18,mex,0,1,0,1
2025-02-19,2025-02-25,mex,0,1,0,40
2025-02-26,2025-03-04,mex,0,3,0,8.333333333333332
2025-03-05,2025-03-11,mex,0,1,0,45
2025-03-12,2025-03-18,mex,0,7,0,28.428571428571427
2025-03-19,2025-03-25,mex,0,6,0,31
2025-03-26,2025-04-01,mex,0,4,0,43
2025-04-02,2025-04-08,mex,0,3,0,20.333333333333332
2025-04-09,2025-04-15,mex,0,2,0,27.5
