start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,3,0,91.66666666666667
2024-05-08,2024-05-14,mex,0,7,0,91.14285714285714
2024-05-15,2024-05-21,mex,0,2,0,85
2024-05-22,2024-05-28,mex,0,1,0,75
2024-06-05,2024-06-11,mex,0,6,0,73.33333333333333
2024-06-12,2024-06-18,mex,0,8,0,88.5
2024-06-19,2024-06-25,mex,0,5,0,80.8
2024-06-26,2024-07-02,mex,0,8,0,82.375
2024-07-03,2024-07-09,mex,0,6,0,71.83333333333333
2024-07-17,2024-07-23,mex,0,3,0,79.33333333333333
2024-07-24,2024-07-30,mex,0,6,0,68.16666666666667
2024-07-31,2024-08-06,mex,0,6,0,75.66666666666667
2024-08-07,2024-08-13,mex,0,10,0,67.1
2024-08-14,2024-08-20,mex,0,7,0,75
2024-08-21,2024-08-27,mex,0,5,0,64
2024-08-28,2024-09-03,mex,0,5,0,85.6
2024-09-04,2024-09-10,mex,0,5,0,86.4
2024-09-11,2024-09-17,mex,0,14,0,75.14285714285714
2024-09-18,2024-09-24,mex,0,4,0,77.25
2024-09-25,2024-10-01,mex,0,6,0,78.33333333333333
2024-10-02,2024-10-08,mex,0,8,0,75.375
2024-10-09,2024-10-15,mex,0,3,0,78.66666666666667
2024-10-16,2024-10-22,mex,0,3,0,75.33333333333333
2024-10-23,2024-10-29,mex,0,7,0,64.42857142857143
2024-10-30,2024-11-05,mex,0,14,0,70.57142857142857
2024-11-06,2024-11-12,mex,0,13,0,75.46153846153847
2024-11-13,2024-11-19,mex,0,9,0,71.22222222222223
2024-11-20,2024-11-26,mex,0,9,0,62.77777777777778
2024-11-27,2024-12-03,mex,0,4,0,56
2024-12-04,2024-12-10,mex,0,16,0,69.1875
2024-12-11,2024-12-17,mex,0,16,0,68.5625
2024-12-18,2024-12-24,mex,0,13,0,67.15384615384616
2024-12-25,2024-12-31,mex,0,13,0,58.38461538461539
2025-01-01,2025-01-07,mex,0,12,0,68.41666666666667
2025-01-08,2025-01-14,mex,0,6,0,67.33333333333333
2025-01-15,2025-01-21,mex,0,8,0,54.875
2025-01-22,2025-01-28,mex,0,6,0,65
2025-01-29,2025-02-04,mex,0,1,0,58
2025-02-12,2025-02-18,mex,0,3,0,22
2025-02-19,2025-02-25,mex,0,10,0,53.5
2025-02-26,2025-03-04,mex,0,5,0,49.8
2025-03-05,2025-03-11,mex,0,6,0,74
2025-03-12,2025-03-18,mex,0,5,0,65.6
2025-03-19,2025-03-25,mex,0,1,0,83
2025-03-26,2025-04-01,mex,0,6,0,15.5
2025-04-02,2025-04-08,mex,0,2,0,55.5
2025-04-16,2025-04-22,mex,0,1,0,9
2025-04-23,2025-04-29,mex,0,4,0,70.25
2025-04-30,2025-05-06,mex,0,4,0,40.75
2025-05-07,2025-05-13,mex,0,2,0,35.5
2025-05-14,2025-05-20,mex,0,2,0,62
2025-05-21,2025-05-27,mex,0,6,0,67.83333333333333
2025-05-28,2025-06-03,mex,0,7,0,61.42857142857143
2025-06-11,2025-06-17,mex,0,3,0,68
2025-06-18,2025-06-24,mex,0,1,0,67
2025-06-25,2025-07-01,mex,0,2,0,56
2025-07-02,2025-07-08,mex,0,16,0,64.8125
2025-07-09,2025-07-15,mex,0,17,0,65.41176470588235
2025-07-16,2025-07-22,mex,0,15,0,62.333333333333336
2025-07-23,2025-07-29,mex,0,10,0,60.2
2025-07-30,2025-08-05,mex,0,2,0,20.5
2025-08-06,2025-08-12,mex,0,4,0,34
2025-08-13,2025-08-19,mex,0,4,0,36
2025-08-20,2025-08-23,mex,0,4,0,22.75
