start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,7,0,9.714285714285714
2024-05-08,2024-05-14,mex,0,7,0,17.428571428571427
2024-05-15,2024-05-21,mex,1,9,0.1111111111111111,18.444444444444443
2024-05-22,2024-05-28,mex,1,12,0.08333333333333333,16.083333333333336
2024-05-29,2024-06-04,mex,0,9,0,23.77777777777778
2024-06-05,2024-06-11,mex,0,7,0,16.142857142857142
2024-06-12,2024-06-18,mex,1,12,0.08333333333333333,15.083333333333334
2024-06-19,2024-06-25,mex,0,8,0,19.875
2024-06-26,2024-07-02,mex,0,3,0,20.666666666666668
2024-07-03,2024-07-09,mex,0,11,0,9.454545454545455
2024-07-10,2024-07-16,mex,0,14,0,11.714285714285714
2024-07-17,2024-07-23,mex,0,6,0,23.166666666666668
2024-07-24,2024-07-30,mex,0,11,0,7.636363636363637
2024-07-31,2024-08-06,mex,0,7,0,8.285714285714285
2024-08-07,2024-08-13,mex,0,9,0,17.88888888888889
2024-08-14,2024-08-20,mex,0,17,0,11.058823529411764
2024-08-21,2024-08-27,mex,0,9,0,12
2024-08-28,2024-09-03,mex,0,4,0,9.5
2024-09-04,2024-09-10,mex,1,9,0.1111111111111111,13.555555555555555
2024-09-11,2024-09-17,mex,1,5,0.2,8.8
2024-09-18,2024-09-24,mex,0,4,0,7
2024-09-25,2024-10-01,mex,0,13,0,11.538461538461538
2024-10-02,2024-10-08,mex,0,3,0,8
2024-10-09,2024-10-15,mex,0,21,0,11.285714285714286
2024-10-16,2024-10-22,mex,1,18,0.05555555555555555,9.055555555555555
2024-10-23,2024-10-29,mex,0,13,0,7.846153846153846
2024-10-30,2024-11-05,mex,0,41,0,15.170731707317072
2024-11-06,2024-11-12,mex,0,19,0,16.210526315789473
2024-11-13,2024-11-19,mex,0,26,0,17.884615384615383
2024-11-20,2024-11-26,mex,0,26,0,12.076923076923077
