start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,90
2024-05-08,2024-05-14,mex,0,4,0,27
2024-05-15,2024-05-21,mex,0,27,0,36.96296296296296
2024-05-22,2024-05-28,mex,0,30,0,31.366666666666667
2024-05-29,2024-06-04,mex,0,19,0,40.578947368421055
2024-06-05,2024-06-11,mex,0,5,0,34.8
2024-06-12,2024-06-18,mex,0,8,0,32.75
2024-06-19,2024-06-25,mex,0,17,0,29
2024-06-26,2024-07-02,mex,0,21,0,30.19047619047619
2024-07-03,2024-07-09,mex,0,16,0,40.375
2024-07-10,2024-07-16,mex,0,22,0,36.95454545454545
2024-07-17,2024-07-23,mex,0,34,0,32.82352941176471
2024-07-24,2024-07-30,mex,0,40,0,39.275
2024-07-31,2024-08-06,mex,0,25,0,53.68
2024-08-07,2024-08-13,mex,0,22,0,55.77272727272727
2024-08-14,2024-08-20,mex,0,22,0,56.81818181818182
2024-08-21,2024-08-27,mex,0,19,0,57.94736842105263
2024-08-28,2024-09-03,mex,0,15,0,57.2
