start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,2,0,8.5
2024-05-08,2024-05-14,mex,0,3,0,9.666666666666666
2024-05-15,2024-05-21,mex,0,1,0,51
2024-05-22,2024-05-28,mex,0,1,0,9
2024-05-29,2024-06-04,mex,0,1,0,97
2024-06-05,2024-06-11,mex,0,1,0,15
2024-06-12,2024-06-18,mex,0,2,0,50
2024-06-19,2024-06-25,mex,0,4,0,30.5
2024-06-26,2024-07-02,mex,0,9,0,27
2024-07-03,2024-07-09,mex,0,6,0,12.333333333333334
2024-07-10,2024-07-16,mex,0,8,0,27.875
2024-07-17,2024-07-23,mex,0,1,0,19
2024-07-24,2024-07-30,mex,0,1,0,17
2024-07-31,2024-08-06,mex,0,1,0,19
