start_date,end_date,country,clicks,impressions,ctr,position
2024-09-04,2024-09-10,mex,0,1,0,7
2024-09-11,2024-09-17,mex,0,1,0,14
2024-10-09,2024-10-15,mex,0,1,0,4
2024-10-30,2024-11-05,mex,0,1,0,64
2024-11-13,2024-11-19,mex,0,1,0,67
2024-12-11,2024-12-17,mex,0,1,0,66
2025-02-12,2025-02-18,mex,0,1,0,75
2025-02-19,2025-02-25,mex,0,1,0,66
2025-05-28,2025-06-03,mex,0,1,0,61
2025-06-18,2025-06-24,mex,0,1,0,35
2025-06-25,2025-07-01,mex,0,1,0,28
2025-07-09,2025-07-15,mex,0,2,0,1
2025-07-16,2025-07-22,mex,0,9,0,5.222222222222222
2025-07-23,2025-07-29,mex,0,5,0,1.6
2025-08-06,2025-08-12,mex,0,2,0,2.5
