start_date,end_date,country,clicks,impressions,ctr,position
2024-08-14,2024-08-20,mex,0,1,0,61
2024-08-21,2024-08-27,mex,0,2,0,64
2024-08-28,2024-09-03,mex,0,1,0,35
2024-09-11,2024-09-17,mex,0,2,0,12
2024-09-18,2024-09-24,mex,0,2,0,80.5
2024-09-25,2024-10-01,mex,0,2,0,13
2024-10-02,2024-10-08,mex,0,2,0,55.5
2024-10-09,2024-10-15,mex,0,3,0,74.33333333333333
2024-10-16,2024-10-22,mex,0,2,0,66.5
2024-10-23,2024-10-29,mex,0,1,0,54
2024-10-30,2024-11-05,mex,0,1,0,66
2024-11-06,2024-11-12,mex,0,1,0,56
2024-11-13,2024-11-19,mex,0,7,0,24.285714285714285
2024-11-20,2024-11-26,mex,0,10,0,20.5
2024-11-27,2024-12-03,mex,0,3,0,9.666666666666666
2024-12-04,2024-12-10,mex,0,4,0,9.5
2024-12-11,2024-12-17,mex,0,2,0,12.5
2024-12-18,2024-12-24,mex,0,2,0,62.5
2024-12-25,2024-12-31,mex,0,6,0,29
2025-01-01,2025-01-07,mex,0,12,0,21
2025-01-08,2025-01-14,mex,0,7,0,9
2025-01-15,2025-01-21,mex,0,5,0,7
2025-01-22,2025-01-28,mex,0,3,0,8
2025-01-29,2025-02-04,mex,0,6,0,10.166666666666666
2025-02-05,2025-02-11,mex,0,19,0,11.210526315789474
2025-02-12,2025-02-18,mex,0,15,0,12.2
2025-02-19,2025-02-25,mex,0,29,0,10.379310344827585
2025-02-26,2025-03-04,mex,0,8,0,11
2025-03-05,2025-03-11,mex,0,2,0,11
2025-03-12,2025-03-18,mex,0,7,0,8.142857142857142
2025-03-19,2025-03-25,mex,0,12,0,13.083333333333334
2025-03-26,2025-04-01,mex,0,2,0,12.5
2025-04-02,2025-04-08,mex,0,3,0,7.666666666666667
2025-04-16,2025-04-22,mex,0,2,0,10.5
2025-04-23,2025-04-29,mex,0,6,0,8.333333333333332
2025-04-30,2025-05-06,mex,0,3,0,8
2025-05-07,2025-05-13,mex,0,4,0,5
2025-05-14,2025-05-20,mex,0,5,0,19.8
2025-05-21,2025-05-27,mex,0,4,0,3.5
2025-05-28,2025-06-03,mex,0,3,0,6
2025-06-04,2025-06-10,mex,0,6,0,4.5
2025-06-11,2025-06-17,mex,0,6,0,13.833333333333334
2025-06-18,2025-06-24,mex,0,2,0,6.5
2025-06-25,2025-07-01,mex,0,11,0,10.272727272727273
2025-07-02,2025-07-08,mex,0,9,0,8.555555555555555
2025-07-09,2025-07-15,mex,0,11,0,8.545454545454547
2025-07-16,2025-07-22,mex,0,18,0,6.166666666666667
2025-07-23,2025-07-29,mex,0,19,0,10.68421052631579
2025-07-30,2025-08-05,mex,0,18,0,10.11111111111111
2025-08-06,2025-08-12,mex,0,13,0,10.76923076923077
2025-08-13,2025-08-19,mex,0,11,0,10.272727272727273
2025-08-20,2025-08-23,mex,0,6,0,7.5
