start_date,end_date,country,clicks,impressions,ctr,position
2024-12-18,2024-12-24,mex,0,2,0,46
2025-01-01,2025-01-07,mex,0,3,0,12
2025-01-08,2025-01-14,mex,0,7,0,19.714285714285715
2025-01-15,2025-01-21,mex,0,1,0,1
2025-01-22,2025-01-28,mex,0,6,0,8.333333333333332
2025-01-29,2025-02-04,mex,0,5,0,13.8
2025-02-05,2025-02-11,mex,0,12,0,9
2025-02-12,2025-02-18,mex,0,7,0,6
2025-02-19,2025-02-25,mex,0,9,0,10.88888888888889
2025-02-26,2025-03-04,mex,0,11,0,10.727272727272727
2025-03-05,2025-03-11,mex,0,3,0,12.333333333333334
2025-03-12,2025-03-18,mex,0,13,0,11.153846153846153
2025-03-19,2025-03-25,mex,0,9,0,10.333333333333334
2025-03-26,2025-04-01,mex,0,5,0,10.2
2025-04-02,2025-04-08,mex,0,3,0,33
2025-04-16,2025-04-22,mex,0,8,0,9.25
2025-04-23,2025-04-29,mex,1,5,0.2,18
2025-04-30,2025-05-06,mex,0,5,0,6.6
2025-05-07,2025-05-13,mex,0,9,0,18.77777777777778
2025-05-14,2025-05-20,mex,0,6,0,20.833333333333332
2025-05-21,2025-05-27,mex,0,17,0,12.176470588235293
2025-05-28,2025-06-03,mex,0,8,0,13.125
2025-06-04,2025-06-10,mex,0,6,0,8.333333333333332
2025-06-11,2025-06-17,mex,0,6,0,11.166666666666666
2025-06-18,2025-06-24,mex,0,8,0,15
2025-06-25,2025-07-01,mex,0,7,0,9.714285714285714
2025-07-02,2025-07-08,mex,0,23,0,15.478260869565217
2025-07-09,2025-07-15,mex,0,22,0,24.09090909090909
2025-07-16,2025-07-22,mex,0,22,0,26.181818181818183
2025-07-23,2025-07-29,mex,0,31,0,34.29032258064516
2025-07-30,2025-08-05,mex,0,32,0,29.28125
2025-08-06,2025-08-12,mex,0,38,0,33.73684210526316
2025-08-13,2025-08-19,mex,0,40,0,28.5
2025-08-20,2025-08-23,mex,0,26,0,23.692307692307693
