start_date,end_date,country,clicks,impressions,ctr,position
2025-03-12,2025-03-18,mex,0,1,0,16
2025-03-19,2025-03-25,mex,0,1,0,19
2025-04-02,2025-04-08,mex,0,1,0,33
2025-04-23,2025-04-29,mex,0,1,0,1
2025-04-30,2025-05-06,mex,0,2,0,31.5
2025-05-07,2025-05-13,mex,0,1,0,41
2025-05-14,2025-05-20,mex,0,1,0,77
2025-05-21,2025-05-27,mex,0,5,0,26
2025-05-28,2025-06-03,mex,0,1,0,26
2025-06-04,2025-06-10,mex,0,5,0,40
2025-06-11,2025-06-17,mex,0,8,0,19.75
2025-06-18,2025-06-24,mex,0,5,0,38.2
2025-06-25,2025-07-01,mex,0,3,0,25.333333333333332
2025-07-02,2025-07-08,mex,0,2,0,40.5
2025-07-09,2025-07-15,mex,0,6,0,19.5
2025-07-16,2025-07-22,mex,0,9,0,19.333333333333332
2025-07-23,2025-07-29,mex,0,6,0,18.333333333333332
2025-08-06,2025-08-12,mex,0,1,0,5
2025-08-13,2025-08-19,mex,0,3,0,34.333333333333336
2025-08-20,2025-08-23,mex,0,1,0,40
