start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,89
2024-05-08,2024-05-14,mex,0,1,0,9
2024-05-15,2024-05-21,mex,0,5,0,23.6
2024-05-22,2024-05-28,mex,0,3,0,9
2024-05-29,2024-06-04,mex,0,4,0,32
2024-06-05,2024-06-11,mex,0,11,0,22.363636363636363
2024-06-12,2024-06-18,mex,0,22,0,18.318181818181817
2024-06-19,2024-06-25,mex,0,49,0,16.93877551020408
2024-06-26,2024-07-02,mex,0,22,0,24.90909090909091
2024-07-03,2024-07-09,mex,0,19,0,15.526315789473685
2024-07-10,2024-07-16,mex,0,6,0,39.333333333333336
2024-07-17,2024-07-23,mex,1,22,0.045454545454545456,20.681818181818183
2024-07-24,2024-07-30,mex,0,29,0,11.827586206896552
2024-07-31,2024-08-06,mex,0,26,0,13.961538461538462
2024-08-07,2024-08-13,mex,0,35,0,39.74285714285714
2024-08-14,2024-08-20,mex,0,82,0,26.70731707317073
2024-08-21,2024-08-27,mex,0,47,0,15.212765957446809
2024-08-28,2024-09-03,mex,0,28,0,28.607142857142858
2024-09-04,2024-09-10,mex,0,73,0,18.041095890410958
2024-09-11,2024-09-17,mex,0,58,0,10.03448275862069
2024-09-18,2024-09-24,mex,0,51,0,9.627450980392156
2024-09-25,2024-10-01,mex,1,10,0.1,7
2024-10-02,2024-10-08,mex,0,67,0,21.34328358208955
2024-10-09,2024-10-15,mex,1,72,0.013888888888888888,7.833333333333333
2024-10-16,2024-10-22,mex,1,93,0.010752688172043012,12.204301075268818
2024-10-23,2024-10-29,mex,1,64,0.015625,12.40625
2024-10-30,2024-11-05,mex,0,58,0,7.689655172413793
2024-11-06,2024-11-12,mex,0,49,0,8.387755102040817
2024-11-13,2024-11-19,mex,1,36,0.027777777777777776,15.25
2024-11-20,2024-11-26,mex,0,63,0,7.587301587301587
2024-11-27,2024-12-03,mex,0,84,0,18.726190476190474
2024-12-04,2024-12-10,mex,0,52,0,15.5
2024-12-11,2024-12-17,mex,0,28,0,27.428571428571427
2024-12-18,2024-12-24,mex,1,48,0.020833333333333332,6.270833333333333
2024-12-25,2024-12-31,mex,0,27,0,7.592592592592593
2025-01-01,2025-01-07,mex,1,53,0.018867924528301886,8
2025-01-08,2025-01-14,mex,0,35,0,14.742857142857142
2025-01-15,2025-01-21,mex,0,10,0,18.5
