start_date,end_date,country,clicks,impressions,ctr,position
2024-06-19,2024-06-25,mex,0,1,0,11
2024-06-26,2024-07-02,mex,0,1,0,11
2024-07-03,2024-07-09,mex,0,1,0,15
2024-08-07,2024-08-13,mex,0,2,0,13
2024-08-21,2024-08-27,mex,0,3,0,6.666666666666667
2024-08-28,2024-09-03,mex,0,3,0,6.666666666666667
2024-09-04,2024-09-10,mex,0,10,0,9.8
2024-09-11,2024-09-17,mex,0,6,0,18.166666666666668
2024-09-18,2024-09-24,mex,0,9,0,11.333333333333334
2024-09-25,2024-10-01,mex,0,17,0,11.941176470588236
2024-10-02,2024-10-08,mex,0,8,0,11.375
2024-10-09,2024-10-15,mex,0,10,0,11.4
2024-10-16,2024-10-22,mex,0,4,0,11
2024-10-23,2024-10-29,mex,0,16,0,10.5625
2024-10-30,2024-11-05,mex,0,15,0,9.2
2024-11-06,2024-11-12,mex,0,12,0,8.916666666666668
2024-11-13,2024-11-19,mex,0,10,0,9.1
2024-11-20,2024-11-26,mex,0,19,0,9.526315789473685
2024-11-27,2024-12-03,mex,0,17,0,11.117647058823529
2024-12-04,2024-12-10,mex,0,7,0,8.285714285714285
2024-12-11,2024-12-17,mex,0,4,0,10.25
