start_date,end_date,country,clicks,impressions,ctr,position
2025-04-02,2025-04-08,mex,0,1,0,4
2025-04-23,2025-04-29,mex,0,1,0,3
2025-05-21,2025-05-27,mex,0,7,0,6
2025-05-28,2025-06-03,mex,0,14,0,6.785714285714286
2025-06-04,2025-06-10,mex,0,8,0,3.375
2025-06-11,2025-06-17,mex,0,8,0,4.5
2025-06-18,2025-06-24,mex,0,6,0,5.166666666666667
2025-06-25,2025-07-01,mex,0,5,0,4.6
2025-07-02,2025-07-08,mex,0,10,0,3.3
2025-07-09,2025-07-15,mex,0,5,0,7
2025-07-16,2025-07-22,mex,0,8,0,5.375
2025-07-23,2025-07-29,mex,0,18,0,11.88888888888889
2025-07-30,2025-08-05,mex,0,8,0,5.375
2025-08-06,2025-08-12,mex,0,3,0,2.333333333333333
2025-08-13,2025-08-19,mex,0,15,0,65.46666666666667
2025-08-20,2025-08-23,mex,0,34,0,63.85294117647059
