start_date,end_date,country,clicks,impressions,ctr,position
2025-03-12,2025-03-18,mex,0,2,0,26
2025-03-19,2025-03-25,mex,0,2,0,4.5
2025-04-02,2025-04-08,mex,0,1,0,20
2025-04-23,2025-04-29,mex,0,1,0,40
2025-04-30,2025-05-06,mex,0,1,0,18
2025-05-14,2025-05-20,mex,0,1,0,15
2025-05-21,2025-05-27,mex,0,2,0,32
2025-05-28,2025-06-03,mex,0,1,0,59
2025-06-18,2025-06-24,mex,0,1,0,1
2025-07-02,2025-07-08,mex,0,2,0,21.5
2025-07-09,2025-07-15,mex,0,28,0,5.535714285714286
2025-07-16,2025-07-22,mex,0,1,0,10
2025-07-23,2025-07-29,mex,0,4,0,22.5
2025-07-30,2025-08-05,mex,0,3,0,23
2025-08-06,2025-08-12,mex,0,5,0,20.2
2025-08-13,2025-08-19,mex,0,6,0,43.333333333333336
2025-08-20,2025-08-23,mex,0,3,0,8.666666666666668
