start_date,end_date,country,clicks,impressions,ctr,position
2024-06-26,2024-07-02,mex,0,2,0,50.5
2024-07-31,2024-08-06,mex,0,1,0,6
2024-09-11,2024-09-17,mex,0,1,0,38
2024-09-18,2024-09-24,mex,0,1,0,12
2024-10-30,2024-11-05,mex,0,1,0,48
2024-11-27,2024-12-03,mex,0,3,0,20.666666666666668
2024-12-11,2024-12-17,mex,0,2,0,18.5
2024-12-18,2024-12-24,mex,0,2,0,18.5
2024-12-25,2024-12-31,mex,0,1,0,50
2025-01-08,2025-01-14,mex,0,2,0,21
2025-01-15,2025-01-21,mex,0,5,0,23.6
2025-01-22,2025-01-28,mex,0,2,0,7.5
2025-01-29,2025-02-04,mex,0,1,0,9
2025-02-05,2025-02-11,mex,0,2,0,10
2025-02-12,2025-02-18,mex,0,5,0,11.4
2025-02-19,2025-02-25,mex,0,5,0,8.2
2025-02-26,2025-03-04,mex,0,2,0,5
2025-03-05,2025-03-11,mex,0,3,0,29.333333333333332
2025-03-19,2025-03-25,mex,0,3,0,23.666666666666668
2025-03-26,2025-04-01,mex,0,1,0,1
2025-04-02,2025-04-08,mex,0,2,0,4.5
2025-04-16,2025-04-22,mex,0,2,0,20.5
2025-04-23,2025-04-29,mex,0,2,0,15.5
2025-04-30,2025-05-06,mex,0,4,0,5
2025-05-07,2025-05-13,mex,0,4,0,11.25
2025-05-14,2025-05-20,mex,0,10,0,13.1
2025-05-21,2025-05-27,mex,0,4,0,16.5
2025-05-28,2025-06-03,mex,0,5,0,7
2025-06-04,2025-06-10,mex,0,1,0,1
2025-06-11,2025-06-17,mex,0,1,0,8
2025-06-18,2025-06-24,mex,0,1,0,44
2025-06-25,2025-07-01,mex,0,3,0,4
2025-07-02,2025-07-08,mex,0,3,0,6
2025-07-09,2025-07-15,mex,0,2,0,1
2025-07-16,2025-07-22,mex,0,2,0,3.5
2025-07-23,2025-07-29,mex,0,4,0,17.25
2025-07-30,2025-08-05,mex,0,3,0,9.333333333333334
2025-08-06,2025-08-12,mex,0,7,0,12.428571428571429
2025-08-13,2025-08-19,mex,0,8,0,32.625
