start_date,end_date,country,clicks,impressions,ctr,position
2025-02-19,2025-02-25,mex,0,2,0,13.5
2025-03-05,2025-03-11,mex,0,2,0,9
2025-03-12,2025-03-18,mex,0,1,0,9
2025-03-26,2025-04-01,mex,0,1,0,12
2025-04-16,2025-04-22,mex,0,2,0,12
2025-04-23,2025-04-29,mex,0,2,0,9
2025-04-30,2025-05-06,mex,0,3,0,9.666666666666666
2025-05-07,2025-05-13,mex,0,7,0,17.857142857142858
2025-05-14,2025-05-20,mex,0,2,0,22.5
2025-05-21,2025-05-27,mex,0,1,0,12
2025-05-28,2025-06-03,mex,0,1,0,74
2025-06-04,2025-06-10,mex,0,1,0,10
2025-06-11,2025-06-17,mex,0,1,0,9
2025-06-18,2025-06-24,mex,0,2,0,9
2025-06-25,2025-07-01,mex,0,3,0,12.333333333333334
2025-07-02,2025-07-08,mex,0,3,0,8
2025-07-09,2025-07-15,mex,0,3,0,10.333333333333334
2025-07-16,2025-07-22,mex,0,1,0,32
2025-07-23,2025-07-29,mex,0,1,0,1
2025-07-30,2025-08-05,mex,0,2,0,8.5
2025-08-06,2025-08-12,mex,0,1,0,39
