start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,90
2024-05-08,2024-05-14,mex,0,5,0,60.2
2024-05-15,2024-05-21,mex,0,4,0,82
2024-05-22,2024-05-28,mex,0,6,0,77.66666666666667
2024-05-29,2024-06-04,mex,0,4,0,80
2024-06-05,2024-06-11,mex,0,5,0,80.4
2024-06-12,2024-06-18,mex,0,2,0,79.5
2024-06-19,2024-06-25,mex,0,3,0,79.66666666666667
2024-06-26,2024-07-02,mex,0,8,0,73.75
2024-07-03,2024-07-09,mex,0,5,0,68
2024-07-10,2024-07-16,mex,0,3,0,50.333333333333336
2024-07-17,2024-07-23,mex,0,8,0,54.75
2024-07-24,2024-07-30,mex,0,7,0,55.714285714285715
2024-07-31,2024-08-06,mex,0,6,0,57.5
2024-08-07,2024-08-13,mex,0,9,0,54
2024-08-14,2024-08-20,mex,0,5,0,48.8
2024-08-21,2024-08-27,mex,0,1,0,42
2024-08-28,2024-09-03,mex,0,1,0,1
2024-09-04,2024-09-10,mex,0,5,0,9.2
2024-09-11,2024-09-17,mex,0,6,0,22.5
2024-09-18,2024-09-24,mex,0,2,0,4.5
2024-09-25,2024-10-01,mex,0,1,0,20
2024-10-02,2024-10-08,mex,0,5,0,29.2
2024-10-09,2024-10-15,mex,0,6,0,19.166666666666668
2024-10-16,2024-10-22,mex,0,2,0,8
2024-10-23,2024-10-29,mex,0,1,0,35
2024-10-30,2024-11-05,mex,0,3,0,4
2024-11-06,2024-11-12,mex,0,1,0,10
2024-11-13,2024-11-19,mex,0,5,0,12.4
2024-11-20,2024-11-26,mex,0,6,0,15.666666666666666
2024-11-27,2024-12-03,mex,0,4,0,9.75
2024-12-04,2024-12-10,mex,0,3,0,28
2024-12-11,2024-12-17,mex,0,8,0,9.25
2024-12-18,2024-12-24,mex,0,7,0,13.571428571428571
2024-12-25,2024-12-31,mex,0,4,0,8
2025-01-01,2025-01-07,mex,0,2,0,17.5
2025-01-08,2025-01-14,mex,0,3,0,11.333333333333334
2025-01-15,2025-01-21,mex,0,12,0,8.333333333333332
2025-01-22,2025-01-28,mex,0,19,0,18.473684210526315
2025-01-29,2025-02-04,mex,1,5,0.2,11.4
2025-02-05,2025-02-11,mex,0,1,0,6
2025-02-12,2025-02-18,mex,0,5,0,25.4
2025-02-19,2025-02-25,mex,0,4,0,10.75
2025-02-26,2025-03-04,mex,0,8,0,23.25
2025-03-05,2025-03-11,mex,0,1,0,56
2025-03-12,2025-03-18,mex,0,8,0,11.375
2025-03-19,2025-03-25,mex,0,4,0,13
2025-03-26,2025-04-01,mex,0,2,0,11.5
2025-04-02,2025-04-08,mex,0,11,0,23.272727272727273
2025-04-09,2025-04-15,mex,0,17,0,21.41176470588235
2025-04-16,2025-04-22,mex,0,13,0,9.615384615384615
2025-04-23,2025-04-29,mex,0,8,0,10.25
2025-04-30,2025-05-06,mex,0,1,0,52
