start_date,end_date,country,clicks,impressions,ctr,position
2024-08-21,2024-08-27,mex,0,1,0,39
2024-08-28,2024-09-03,mex,0,2,0,60
2024-09-25,2024-10-01,mex,0,2,0,52
2024-10-02,2024-10-08,mex,1,1,1,80
2024-10-09,2024-10-15,mex,0,2,0,84
2024-10-16,2024-10-22,mex,0,2,0,79
2024-10-23,2024-10-29,mex,0,9,0,17.22222222222222
2024-10-30,2024-11-05,mex,0,13,0,12.461538461538462
2024-11-06,2024-11-12,mex,0,15,0,12.133333333333333
2024-11-13,2024-11-19,mex,0,5,0,15.6
2024-11-20,2024-11-26,mex,0,6,0,56.166666666666664
2024-11-27,2024-12-03,mex,0,1,0,58
2024-12-04,2024-12-10,mex,0,4,0,33.75
2024-12-11,2024-12-17,mex,0,3,0,26.666666666666668
2024-12-18,2024-12-24,mex,0,2,0,31
2024-12-25,2024-12-31,mex,0,2,0,23.5
2025-01-15,2025-01-21,mex,0,1,0,41
2025-01-29,2025-02-04,mex,0,3,0,5.333333333333333
2025-02-12,2025-02-18,mex,0,1,0,4
2025-02-19,2025-02-25,mex,0,2,0,3.5
2025-02-26,2025-03-04,mex,0,1,0,2
2025-03-05,2025-03-11,mex,1,2,0.5,19
2025-03-12,2025-03-18,mex,0,4,0,44.5
2025-03-19,2025-03-25,mex,0,3,0,17.333333333333332
2025-03-26,2025-04-01,mex,0,3,0,16
2025-04-02,2025-04-08,mex,0,2,0,15.5
2025-04-09,2025-04-15,mex,0,5,0,7.8
2025-04-16,2025-04-22,mex,0,4,0,29.75
2025-04-23,2025-04-29,mex,0,2,0,11
2025-04-30,2025-05-06,mex,0,5,0,8.2
2025-05-07,2025-05-13,mex,0,2,0,10
2025-05-21,2025-05-27,mex,0,1,0,9
2025-05-28,2025-06-03,mex,0,1,0,9
2025-06-04,2025-06-10,mex,0,2,0,5
2025-06-11,2025-06-17,mex,0,1,0,15
2025-06-25,2025-07-01,mex,0,2,0,29.5
2025-07-02,2025-07-08,mex,0,16,0,16.5625
2025-07-09,2025-07-15,mex,0,20,0,30.85
2025-07-16,2025-07-22,mex,0,35,0,36.82857142857143
2025-07-23,2025-07-29,mex,0,35,0,35.457142857142856
2025-07-30,2025-08-05,mex,0,17,0,39
2025-08-06,2025-08-12,mex,0,6,0,32.66666666666667
2025-08-13,2025-08-19,mex,0,5,0,40.6
2025-08-20,2025-08-23,mex,0,3,0,25
