start_date,end_date,country,clicks,impressions,ctr,position
2024-08-14,2024-08-20,mex,0,3,0,8.333333333333332
2024-11-06,2024-11-12,mex,2,2,1,11
2024-11-13,2024-11-19,mex,0,2,0,87
2024-11-20,2024-11-26,mex,0,9,0,9
2024-11-27,2024-12-03,mex,1,15,0.06666666666666667,5.733333333333333
2024-12-04,2024-12-10,mex,0,22,0,7.863636363636363
2024-12-11,2024-12-17,mex,0,19,0,8.789473684210527
2024-12-18,2024-12-24,mex,0,14,0,10.5
2024-12-25,2024-12-31,mex,0,11,0,5.181818181818182
2025-01-01,2025-01-07,mex,0,18,0,7.888888888888889
2025-01-08,2025-01-14,mex,0,11,0,4.909090909090909
2025-01-15,2025-01-21,mex,0,14,0,5.071428571428571
2025-01-22,2025-01-28,mex,0,26,0,5.769230769230769
2025-01-29,2025-02-04,mex,0,15,0,6.266666666666667
2025-02-05,2025-02-11,mex,0,10,0,5.7
2025-02-12,2025-02-18,mex,0,27,0,12.148148148148149
2025-02-19,2025-02-25,mex,0,14,0,12.785714285714286
2025-02-26,2025-03-04,mex,0,15,0,7
2025-03-05,2025-03-11,mex,0,10,0,5.6
2025-03-12,2025-03-18,mex,0,13,0,6.538461538461538
2025-03-19,2025-03-25,mex,0,23,0,10.73913043478261
2025-03-26,2025-04-01,mex,0,15,0,6.666666666666667
2025-04-02,2025-04-08,mex,0,13,0,29.384615384615383
2025-04-09,2025-04-15,mex,0,13,0,21.53846153846154
2025-04-16,2025-04-22,mex,0,12,0,6.833333333333333
2025-04-23,2025-04-29,mex,1,7,0.14285714285714285,12
2025-04-30,2025-05-06,mex,0,27,0,9.62962962962963
2025-05-07,2025-05-13,mex,0,10,0,7.2
2025-05-14,2025-05-20,mex,0,18,0,13.055555555555555
2025-05-21,2025-05-27,mex,0,5,0,7.4
2025-05-28,2025-06-03,mex,0,17,0,9.529411764705882
2025-06-04,2025-06-10,mex,0,16,0,7.75
2025-06-11,2025-06-17,mex,0,24,0,17.25
2025-06-18,2025-06-24,mex,0,16,0,9.25
2025-06-25,2025-07-01,mex,0,24,0,12
2025-07-02,2025-07-08,mex,0,45,0,31.266666666666666
2025-07-09,2025-07-15,mex,0,31,0,26.903225806451612
2025-07-16,2025-07-22,mex,0,17,0,33.294117647058826
2025-07-23,2025-07-29,mex,0,13,0,20.692307692307693
2025-07-30,2025-08-05,mex,0,4,0,22.25
2025-08-06,2025-08-12,mex,0,1,0,8
2025-08-13,2025-08-19,mex,0,8,0,24
2025-08-20,2025-08-23,mex,0,7,0,28.714285714285715
