start_date,end_date,country,clicks,impressions,ctr,position
2024-06-19,2024-06-25,mex,0,1,0,63
2024-10-02,2024-10-08,mex,0,1,0,8
2024-10-09,2024-10-15,mex,0,1,0,9
2024-10-16,2024-10-22,mex,0,1,0,7
2024-10-23,2024-10-29,mex,0,2,0,11.5
2024-10-30,2024-11-05,mex,0,1,0,6
2024-11-06,2024-11-12,mex,0,2,0,9
2024-11-13,2024-11-19,mex,0,2,0,7
2024-11-20,2024-11-26,mex,0,2,0,7.5
2024-11-27,2024-12-03,mex,0,2,0,8.5
2024-12-04,2024-12-10,mex,0,5,0,9.4
2024-12-11,2024-12-17,mex,0,2,0,10.5
2024-12-18,2024-12-24,mex,1,2,0.5,11
2024-12-25,2024-12-31,mex,0,3,0,9.666666666666666
2025-01-01,2025-01-07,mex,0,4,0,6.5
2025-02-05,2025-02-11,mex,0,5,0,8.8
2025-02-12,2025-02-18,mex,0,8,0,8.125
2025-02-19,2025-02-25,mex,0,12,0,7.916666666666667
2025-02-26,2025-03-04,mex,0,5,0,10.8
2025-03-05,2025-03-11,mex,1,13,0.07692307692307693,9.615384615384615
2025-03-12,2025-03-18,mex,0,10,0,14.7
2025-03-19,2025-03-25,mex,1,14,0.07142857142857142,14.857142857142858
2025-03-26,2025-04-01,mex,0,7,0,18.428571428571427
2025-04-02,2025-04-08,mex,1,13,0.07692307692307693,5.6923076923076925
2025-04-09,2025-04-15,mex,0,9,0,6.222222222222222
2025-04-16,2025-04-22,mex,0,7,0,8.857142857142858
2025-04-23,2025-04-29,mex,0,17,0,13.823529411764707
2025-04-30,2025-05-06,mex,0,14,0,16.214285714285715
2025-05-07,2025-05-13,mex,0,13,0,16.53846153846154
2025-05-14,2025-05-20,mex,0,5,0,8.8
2025-05-21,2025-05-27,mex,0,5,0,9
2025-05-28,2025-06-03,mex,0,7,0,7.571428571428571
2025-06-04,2025-06-10,mex,0,16,0,27.9375
2025-06-11,2025-06-17,mex,0,21,0,21.904761904761905
2025-06-18,2025-06-24,mex,1,19,0.05263157894736842,24.894736842105264
2025-06-25,2025-07-01,mex,0,4,0,28.5
2025-07-02,2025-07-08,mex,0,4,0,6.25
2025-07-09,2025-07-15,mex,0,7,0,5.571428571428571
2025-07-16,2025-07-22,mex,0,1,0,7
2025-07-23,2025-07-29,mex,0,7,0,50.857142857142854
2025-07-30,2025-08-05,mex,0,6,0,67.66666666666667
2025-08-06,2025-08-12,mex,0,4,0,47.5
2025-08-13,2025-08-19,mex,0,12,0,59.083333333333336
2025-08-20,2025-08-23,mex,0,10,0,28.7
