start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,9
2024-05-08,2024-05-14,mex,1,3,0.3333333333333333,4
2024-05-15,2024-05-21,mex,0,1,0,102
2024-05-22,2024-05-28,mex,0,1,0,99
2024-05-29,2024-06-04,mex,0,1,0,1
2024-06-05,2024-06-11,mex,0,1,0,96
2024-06-12,2024-06-18,mex,0,6,0,52.166666666666664
2024-06-19,2024-06-25,mex,0,6,0,60.833333333333336
2024-06-26,2024-07-02,mex,0,11,0,49.45454545454545
2024-07-03,2024-07-09,mex,0,13,0,52.30769230769231
2024-07-10,2024-07-16,mex,0,10,0,51.5
2024-07-17,2024-07-23,mex,0,8,0,48.75
2024-07-24,2024-07-30,mex,0,11,0,48.36363636363637
2024-07-31,2024-08-06,mex,0,8,0,46.125
2024-08-07,2024-08-13,mex,0,11,0,42
2024-08-14,2024-08-20,mex,0,32,0,43.5
2024-08-21,2024-08-27,mex,0,29,0,43.41379310344828
2024-08-28,2024-09-03,mex,0,22,0,54.18181818181818
2024-09-04,2024-09-10,mex,0,17,0,49.705882352941174
2024-09-11,2024-09-17,mex,0,15,0,55.53333333333333
2024-09-18,2024-09-24,mex,0,14,0,54.57142857142857
2024-09-25,2024-10-01,mex,0,4,0,58.75
2024-10-02,2024-10-08,mex,0,11,0,37.63636363636363
2024-10-09,2024-10-15,mex,0,14,0,27.571428571428573
2024-10-16,2024-10-22,mex,0,15,0,27.066666666666666
2024-10-23,2024-10-29,mex,0,18,0,29.5
2024-10-30,2024-11-05,mex,0,12,0,29.666666666666668
2024-11-06,2024-11-12,mex,0,18,0,24.5
2024-11-13,2024-11-19,mex,0,17,0,25.647058823529413
2024-11-20,2024-11-26,mex,0,15,0,29.866666666666667
2024-11-27,2024-12-03,mex,0,7,0,31.857142857142858
2024-12-04,2024-12-10,mex,0,11,0,23.818181818181817
2024-12-11,2024-12-17,mex,1,5,0.2,9
2024-12-18,2024-12-24,mex,0,17,0,20
2024-12-25,2024-12-31,mex,0,16,0,25.1875
2025-01-01,2025-01-07,mex,0,19,0,26.789473684210527
2025-01-08,2025-01-14,mex,0,18,0,18.055555555555557
2025-01-15,2025-01-21,mex,0,23,0,16.347826086956523
2025-01-22,2025-01-28,mex,0,19,0,18.31578947368421
2025-01-29,2025-02-04,mex,0,16,0,20.375
2025-02-05,2025-02-11,mex,0,16,0,17.3125
2025-02-12,2025-02-18,mex,0,16,0,18.25
2025-02-19,2025-02-25,mex,0,14,0,30.285714285714285
2025-02-26,2025-03-04,mex,0,12,0,23.25
2025-03-05,2025-03-11,mex,1,21,0.047619047619047616,27.238095238095237
2025-03-12,2025-03-18,mex,0,75,0,44.76
2025-03-19,2025-03-25,mex,0,71,0,57.605633802816904
2025-03-26,2025-04-01,mex,0,83,0,54.86746987951807
2025-04-02,2025-04-08,mex,1,80,0.0125,47.6375
2025-04-09,2025-04-15,mex,0,66,0,53.666666666666664
2025-04-16,2025-04-22,mex,0,53,0,49.77358490566038
2025-04-23,2025-04-29,mex,0,45,0,47.51111111111111
