start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,mex,0,1,0,58
2024-05-08,2024-05-14,mex,0,1,0,70
2024-05-15,2024-05-21,mex,0,1,0,85
2024-05-22,2024-05-28,mex,0,1,0,12
2024-05-29,2024-06-04,mex,0,2,0,2.5
2024-06-05,2024-06-11,mex,0,2,0,5.5
2024-06-12,2024-06-18,mex,0,3,0,14.666666666666666
2024-06-19,2024-06-25,mex,0,2,0,1.5
2024-06-26,2024-07-02,mex,0,1,0,63
2024-07-03,2024-07-09,mex,0,4,0,82
2024-07-10,2024-07-16,mex,0,2,0,38
2024-07-17,2024-07-23,mex,0,4,0,76.5
2024-07-24,2024-07-30,mex,0,11,0,75.36363636363636
2024-07-31,2024-08-06,mex,0,2,0,4
2024-08-07,2024-08-13,mex,0,3,0,3.3333333333333335
2024-08-14,2024-08-20,mex,0,3,0,36
2024-08-21,2024-08-27,mex,0,5,0,5.8
2024-08-28,2024-09-03,mex,0,7,0,65.42857142857143
2024-09-04,2024-09-10,mex,0,1,0,74
2024-09-11,2024-09-17,mex,0,10,0,78.1
2024-09-18,2024-09-24,mex,0,1,0,66
2024-09-25,2024-10-01,mex,0,1,0,88
2024-10-02,2024-10-08,mex,0,1,0,2
2024-10-09,2024-10-15,mex,0,4,0,43.75
2024-10-16,2024-10-22,mex,0,13,0,61.76923076923077
2024-10-23,2024-10-29,mex,0,18,0,64.38888888888889
2024-10-30,2024-11-05,mex,0,5,0,65.8
2024-11-06,2024-11-12,mex,0,2,0,70.5
2024-11-13,2024-11-19,mex,0,1,0,99
