start_date,end_date,country,clicks,impressions,ctr,position
2024-10-30,2024-11-05,mex,0,1,0,41
2024-11-20,2024-11-26,mex,0,1,0,9
2025-01-01,2025-01-07,mex,0,7,0,14.857142857142858
2025-01-15,2025-01-21,mex,0,1,0,91
2025-01-22,2025-01-28,mex,0,1,0,2
2025-02-05,2025-02-11,mex,0,1,0,2
2025-02-12,2025-02-18,mex,0,1,0,2
2025-02-19,2025-02-25,mex,1,5,0.2,3.8
2025-02-26,2025-03-04,mex,0,2,0,33
2025-03-12,2025-03-18,mex,0,4,0,4.25
2025-03-19,2025-03-25,mex,2,2,1,2
2025-03-26,2025-04-01,mex,0,1,0,2
2025-04-02,2025-04-08,mex,0,1,0,3
2025-04-09,2025-04-15,mex,0,2,0,47.5
2025-04-23,2025-04-29,mex,0,1,0,2
2025-04-30,2025-05-06,mex,0,2,0,36
2025-05-21,2025-05-27,mex,0,1,0,2
2025-05-28,2025-06-03,mex,0,1,0,5
2025-06-04,2025-06-10,mex,0,3,0,4
2025-06-11,2025-06-17,mex,0,3,0,2
2025-06-18,2025-06-24,mex,0,1,0,62
2025-06-25,2025-07-01,mex,0,2,0,41.5
2025-07-02,2025-07-08,mex,0,11,0,64.81818181818181
2025-07-09,2025-07-15,mex,0,4,0,68.25
2025-07-16,2025-07-22,mex,0,7,0,38.857142857142854
2025-07-23,2025-07-29,mex,0,3,0,11
2025-07-30,2025-08-05,mex,0,1,0,80
2025-08-06,2025-08-12,mex,0,8,0,9.375
2025-08-13,2025-08-19,mex,0,7,0,31.857142857142858
2025-08-20,2025-08-23,mex,0,14,0,13.5
