start_date,end_date,country,clicks,impressions,ctr,position
2024-07-24,2024-07-30,mex,0,1,0,81
2024-08-07,2024-08-13,mex,0,4,0,6
2024-08-14,2024-08-20,mex,0,4,0,8
2024-08-28,2024-09-03,mex,0,2,0,8.5
2024-09-04,2024-09-10,mex,0,4,0,8.25
2024-09-11,2024-09-17,mex,0,2,0,12.5
2024-09-18,2024-09-24,mex,0,1,0,10
2024-09-25,2024-10-01,mex,0,1,0,2
2024-10-02,2024-10-08,mex,0,9,0,3.6666666666666665
2024-10-09,2024-10-15,mex,0,1,0,4
2024-10-16,2024-10-22,mex,0,1,0,1
2024-10-23,2024-10-29,mex,0,4,0,1.25
2024-10-30,2024-11-05,mex,0,9,0,2.333333333333333
2024-11-06,2024-11-12,mex,0,14,0,8
2024-11-13,2024-11-19,mex,0,4,0,1
2024-11-20,2024-11-26,mex,0,8,0,4.25
2024-11-27,2024-12-03,mex,0,8,0,5.625
2024-12-04,2024-12-10,mex,0,6,0,5.333333333333333
2024-12-11,2024-12-17,mex,0,1,0,3
2024-12-18,2024-12-24,mex,0,8,0,4.875
2025-01-01,2025-01-07,mex,0,6,0,2.833333333333333
2025-01-08,2025-01-14,mex,0,7,0,2
2025-01-15,2025-01-21,mex,0,12,0,2
2025-02-12,2025-02-18,mex,0,5,0,10.8
2025-04-09,2025-04-15,mex,0,1,0,1
2025-07-09,2025-07-15,mex,0,3,0,4.333333333333334
