start_date,end_date,country,clicks,impressions,ctr,position
2024-09-04,2024-09-10,mex,0,2,0,9.5
2024-09-11,2024-09-17,mex,0,1,0,14
2024-09-18,2024-09-24,mex,0,4,0,21
2024-09-25,2024-10-01,mex,0,1,0,2
2024-10-09,2024-10-15,mex,0,1,0,4
2024-10-30,2024-11-05,mex,0,2,0,1
2024-11-06,2024-11-12,mex,0,6,0,1.5
2024-11-20,2024-11-26,mex,0,4,0,5.5
2024-11-27,2024-12-03,mex,0,5,0,5
2024-12-04,2024-12-10,mex,0,5,0,6.2
2024-12-11,2024-12-17,mex,0,2,0,41
2024-12-18,2024-12-24,mex,0,9,0,33.55555555555556
2024-12-25,2024-12-31,mex,0,5,0,26.2
2025-01-01,2025-01-07,mex,0,10,0,26.4
2025-01-08,2025-01-14,mex,0,16,0,76.25
2025-01-15,2025-01-21,mex,0,19,0,64.78947368421052
2025-01-22,2025-01-28,mex,0,6,0,78.33333333333333
2025-01-29,2025-02-04,mex,0,2,0,36.5
2025-02-05,2025-02-11,mex,0,11,0,13.454545454545455
2025-02-12,2025-02-18,mex,0,6,0,37.333333333333336
2025-02-19,2025-02-25,mex,0,10,0,61.6
2025-02-26,2025-03-04,mex,0,17,0,70.58823529411765
2025-03-05,2025-03-11,mex,0,17,0,41.1764705882353
2025-03-12,2025-03-18,mex,0,7,0,10.285714285714286
2025-03-19,2025-03-25,mex,0,8,0,40.5
2025-03-26,2025-04-01,mex,0,10,0,30.9
2025-04-02,2025-04-08,mex,0,13,0,62.38461538461539
2025-04-09,2025-04-15,mex,0,7,0,71.28571428571429
2025-04-16,2025-04-22,mex,0,4,0,65.75
2025-04-23,2025-04-29,mex,0,1,0,63
2025-04-30,2025-05-06,mex,0,2,0,63.5
2025-05-07,2025-05-13,mex,0,2,0,66.5
2025-05-21,2025-05-27,mex,0,2,0,79.5
2025-05-28,2025-06-03,mex,0,4,0,74
2025-06-04,2025-06-10,mex,0,3,0,59.666666666666664
2025-06-11,2025-06-17,mex,0,3,0,51.666666666666664
2025-06-18,2025-06-24,mex,0,2,0,64
2025-07-02,2025-07-08,mex,0,1,0,81
2025-07-09,2025-07-15,mex,0,1,0,63
2025-07-16,2025-07-22,mex,0,3,0,31
2025-08-13,2025-08-19,mex,0,2,0,73
