start_date,end_date,country,clicks,impressions,ctr,position
2024-08-07,2024-08-13,mex,0,4,0,6
2024-08-14,2024-08-20,mex,0,4,0,8
2024-08-21,2024-08-27,mex,0,1,0,8
2024-08-28,2024-09-03,mex,0,1,0,9
2024-09-04,2024-09-10,mex,0,1,0,12
2024-09-18,2024-09-24,mex,0,3,0,9.666666666666666
2024-09-25,2024-10-01,mex,0,1,0,2
2024-12-25,2024-12-31,mex,0,3,0,4.333333333333334
2025-01-01,2025-01-07,mex,0,1,0,3
2025-01-15,2025-01-21,mex,0,4,0,16.25
2025-01-22,2025-01-28,mex,0,1,0,4
2025-01-29,2025-02-04,mex,0,2,0,47.5
2025-02-05,2025-02-11,mex,0,10,0,6.4
2025-02-12,2025-02-18,mex,0,1,0,10
2025-02-19,2025-02-25,mex,0,2,0,2.5
2025-02-26,2025-03-04,mex,0,2,0,11
2025-03-05,2025-03-11,mex,0,7,0,18
2025-03-12,2025-03-18,mex,0,5,0,5
2025-03-19,2025-03-25,mex,0,3,0,5
2025-03-26,2025-04-01,mex,0,6,0,9.5
2025-04-02,2025-04-08,mex,0,3,0,7.666666666666667
2025-04-09,2025-04-15,mex,0,5,0,4
2025-04-16,2025-04-22,mex,0,19,0,5.2105263157894735
2025-04-23,2025-04-29,mex,0,2,0,31
2025-05-07,2025-05-13,mex,0,6,0,4.666666666666666
2025-05-14,2025-05-20,mex,0,10,0,3.7
2025-05-21,2025-05-27,mex,0,2,0,43.5
2025-05-28,2025-06-03,mex,0,1,0,48
2025-06-04,2025-06-10,mex,0,2,0,53
2025-06-18,2025-06-24,mex,0,1,0,48
