start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,0,1,0,96
2024-05-08,2024-05-14,per,0,1,0,79
2024-05-15,2024-05-21,per,0,3,0,81.33333333333333
2024-05-22,2024-05-28,per,0,1,0,102
2024-05-29,2024-06-04,per,0,1,0,73
2024-06-05,2024-06-11,per,0,1,0,92
2024-06-12,2024-06-18,per,0,1,0,66
2024-06-19,2024-06-25,per,0,1,0,75
2024-06-26,2024-07-02,per,0,1,0,87
2024-07-03,2024-07-09,per,0,2,0,86.5
2024-07-10,2024-07-16,per,0,1,0,42
2024-07-17,2024-07-23,per,0,1,0,75
2024-07-24,2024-07-30,per,0,1,0,43
2024-07-31,2024-08-06,per,0,1,0,53
2024-08-07,2024-08-13,per,0,3,0,52
2024-08-14,2024-08-20,per,0,2,0,55
2024-08-21,2024-08-27,per,0,1,0,87
2024-08-28,2024-09-03,per,0,1,0,80
2024-09-04,2024-09-10,per,0,1,0,96
2024-09-11,2024-09-17,per,0,1,0,57
2024-09-18,2024-09-24,per,0,1,0,56
2024-09-25,2024-10-01,per,0,1,0,45
