start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,per,0,1,0,48
2024-05-08,2024-05-14,per,0,1,0,73
2024-05-15,2024-05-21,per,0,1,0,45
2024-05-22,2024-05-28,per,0,3,0,46.333333333333336
2024-05-29,2024-06-04,per,0,1,0,21
2024-06-05,2024-06-11,per,0,3,0,49
2024-06-12,2024-06-18,per,0,1,0,41
2024-06-19,2024-06-25,per,0,1,0,40
2024-06-26,2024-07-02,per,0,1,0,32
2024-07-03,2024-07-09,per,0,1,0,3
2024-07-10,2024-07-16,per,0,1,0,27
2024-07-17,2024-07-23,per,0,1,0,98
2024-07-24,2024-07-30,per,0,3,0,35.666666666666664
2024-07-31,2024-08-06,per,0,3,0,29.333333333333332
2024-08-07,2024-08-13,per,0,1,0,29
2024-08-14,2024-08-20,per,0,2,0,27.5
2024-08-21,2024-08-27,per,0,3,0,20.333333333333332
2024-08-28,2024-09-03,per,0,2,0,32
2024-09-04,2024-09-10,per,0,2,0,40
2024-09-11,2024-09-17,per,0,2,0,51.5
2024-09-18,2024-09-24,per,0,2,0,52
