start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,0,29,0,21
2024-05-08,2024-05-14,usa,0,33,0,14.06060606060606
2024-05-15,2024-05-21,usa,1,31,0.03225806451612903,10.64516129032258
2024-05-22,2024-05-28,usa,0,44,0,21.34090909090909
2024-05-29,2024-06-04,usa,1,43,0.023255813953488372,20.58139534883721
2024-06-05,2024-06-11,usa,1,42,0.023809523809523808,14.142857142857142
2024-06-12,2024-06-18,usa,2,41,0.04878048780487805,17.536585365853657
2024-06-19,2024-06-25,usa,1,46,0.021739130434782608,18.5
2024-06-26,2024-07-02,usa,0,55,0,19.490909090909092
2024-07-03,2024-07-09,usa,1,28,0.03571428571428571,15.035714285714286
2024-07-10,2024-07-16,usa,1,34,0.029411764705882353,15.382352941176471
2024-07-17,2024-07-23,usa,5,57,0.08771929824561403,17.05263157894737
2024-07-24,2024-07-30,usa,2,84,0.023809523809523808,19.488095238095237
2024-07-31,2024-08-06,usa,2,97,0.020618556701030927,19.90721649484536
2024-08-07,2024-08-13,usa,7,94,0.07446808510638298,22.361702127659573
2024-08-14,2024-08-20,usa,2,104,0.019230769230769232,37.83653846153846
2024-08-21,2024-08-27,usa,4,136,0.029411764705882353,20.294117647058822
2024-08-28,2024-09-03,usa,3,144,0.020833333333333332,18.90277777777778
2024-09-04,2024-09-10,usa,6,190,0.031578947368421054,19.05263157894737
2024-09-11,2024-09-17,usa,3,164,0.018292682926829267,27.475609756097562
2024-09-18,2024-09-24,usa,1,160,0.00625,31.4375
2024-09-25,2024-10-01,usa,2,137,0.014598540145985401,38.64233576642336
2024-10-02,2024-10-08,usa,1,171,0.005847953216374269,41.36257309941521
2024-10-09,2024-10-15,usa,3,186,0.016129032258064516,48.44086021505376
2024-10-16,2024-10-22,usa,6,277,0.021660649819494584,45.675090252707584
2024-10-23,2024-10-29,usa,6,273,0.02197802197802198,54.42124542124542
2024-10-30,2024-11-05,usa,5,295,0.01694915254237288,50.43050847457627
2024-11-06,2024-11-12,usa,5,282,0.01773049645390071,53.765957446808514
2024-11-13,2024-11-19,usa,4,341,0.011730205278592375,49.868035190615835
2024-11-20,2024-11-26,usa,2,245,0.00816326530612245,50.48571428571429
2024-11-27,2024-12-03,usa,2,284,0.007042253521126761,51.03169014084507
2024-12-04,2024-12-10,usa,3,283,0.01060070671378092,51.29681978798587
2024-12-11,2024-12-17,usa,2,210,0.009523809523809525,49.22857142857143
2024-12-18,2024-12-24,usa,2,159,0.012578616352201259,50.9685534591195
2024-12-25,2024-12-31,usa,1,195,0.005128205128205128,48.56923076923077
2025-01-01,2025-01-07,usa,2,175,0.011428571428571429,52.308571428571426
2025-01-08,2025-01-14,usa,1,115,0.008695652173913044,32.54782608695652
2025-01-15,2025-01-21,usa,2,99,0.020202020202020204,22.545454545454547
2025-01-22,2025-01-28,usa,3,94,0.031914893617021274,27.74468085106383
2025-01-29,2025-02-04,usa,3,87,0.034482758620689655,35.96551724137931
2025-02-05,2025-02-11,usa,2,79,0.02531645569620253,38.68354430379747
2025-02-12,2025-02-18,usa,3,103,0.02912621359223301,40.699029126213595
2025-02-19,2025-02-25,usa,1,67,0.014925373134328358,33.02985074626866
2025-02-26,2025-03-04,usa,1,57,0.017543859649122806,36.14035087719298
2025-03-05,2025-03-11,usa,0,55,0,29.036363636363635
2025-03-12,2025-03-18,usa,2,83,0.024096385542168676,37.44578313253012
2025-03-19,2025-03-25,usa,1,58,0.017241379310344827,46.1551724137931
2025-03-26,2025-04-01,usa,1,75,0.013333333333333334,36.48
2025-04-02,2025-04-08,usa,4,85,0.047058823529411764,27.894117647058824
2025-04-09,2025-04-15,usa,0,67,0,29.55223880597015
2025-04-16,2025-04-22,usa,2,83,0.024096385542168676,31.072289156626507
2025-04-23,2025-04-29,usa,1,76,0.013157894736842105,24.81578947368421
2025-04-30,2025-05-06,usa,1,100,0.01,40.98
2025-05-07,2025-05-13,usa,1,88,0.011363636363636364,42.07954545454545
2025-05-14,2025-05-20,usa,0,96,0,41.59375
2025-05-21,2025-05-27,usa,0,71,0,53.42253521126761
2025-05-28,2025-06-03,usa,0,58,0,40.06896551724138
2025-06-04,2025-06-10,usa,0,81,0,42.34567901234568
2025-06-11,2025-06-17,usa,1,61,0.01639344262295082,31.78688524590164
2025-06-18,2025-06-24,usa,0,81,0,42.93827160493827
2025-06-25,2025-07-01,usa,0,66,0,33.03030303030303
2025-07-02,2025-07-08,usa,0,109,0,54.53211009174312
2025-07-09,2025-07-15,usa,1,148,0.006756756756756757,57.270270270270274
2025-07-16,2025-07-22,usa,2,191,0.010471204188481676,44.23560209424084
2025-07-23,2025-07-29,usa,11,74,0.14864864864864866,18.486486486486488
2025-07-30,2025-08-05,usa,4,73,0.0547945205479452,18.84931506849315
2025-08-06,2025-08-12,usa,5,65,0.07692307692307693,15.846153846153847
2025-08-13,2025-08-19,usa,2,94,0.02127659574468085,31.404255319148938
2025-08-20,2025-08-20,usa,1,24,0.041666666666666664,26
