start_date,end_date,country,clicks,impressions,ctr,position
2024-05-22,2024-05-28,usa,0,1,0,93
2024-05-29,2024-06-04,usa,0,4,0,70.75
2024-06-05,2024-06-11,usa,0,6,0,73.33333333333333
2024-06-12,2024-06-18,usa,0,6,0,72.83333333333333
2024-06-26,2024-07-02,usa,0,3,0,70
2024-07-03,2024-07-09,usa,0,7,0,81.14285714285714
2024-07-10,2024-07-16,usa,0,4,0,56
2024-07-17,2024-07-23,usa,0,4,0,47.75
2024-07-24,2024-07-30,usa,0,8,0,49.25
2024-07-31,2024-08-06,usa,0,13,0,33.15384615384615
2024-08-07,2024-08-13,usa,0,8,0,35
2024-08-14,2024-08-20,usa,0,5,0,43.6
2024-08-21,2024-08-27,usa,0,4,0,46
2024-08-28,2024-09-03,usa,0,7,0,39.714285714285715
2024-09-04,2024-09-10,usa,0,14,0,39.5
2024-09-11,2024-09-17,usa,0,6,0,55.833333333333336
2024-09-18,2024-09-24,usa,0,9,0,57.55555555555556
2024-09-25,2024-10-01,usa,0,8,0,57.375
2024-10-02,2024-10-08,usa,0,11,0,42.18181818181818
2024-10-09,2024-10-15,usa,0,21,0,36.42857142857143
2024-10-16,2024-10-22,usa,0,25,0,34.28
2024-10-23,2024-10-29,usa,0,11,0,46.81818181818182
2024-10-30,2024-11-05,usa,0,7,0,36.142857142857146
2024-11-06,2024-11-12,usa,0,5,0,17.6
2024-11-13,2024-11-19,usa,0,11,0,35.63636363636363
2024-11-20,2024-11-26,usa,0,11,0,48.36363636363637
2024-11-27,2024-12-03,usa,0,5,0,40.4
2024-12-04,2024-12-10,usa,0,16,0,25.3125
2024-12-11,2024-12-17,usa,0,9,0,24.555555555555557
2024-12-18,2024-12-24,usa,0,20,0,87.7
2024-12-25,2024-12-31,usa,0,18,0,80.38888888888889
2025-01-01,2025-01-07,usa,0,12,0,74.33333333333333
2025-01-08,2025-01-14,usa,0,18,0,73.33333333333333
2025-01-15,2025-01-21,usa,0,6,0,72.33333333333333
2025-01-22,2025-01-28,usa,0,1,0,67
2025-01-29,2025-02-04,usa,0,14,0,74.35714285714286
2025-02-05,2025-02-11,usa,0,16,0,31
2025-02-12,2025-02-18,usa,0,11,0,26.545454545454547
2025-02-19,2025-02-25,usa,0,2,0,12
2025-02-26,2025-03-04,usa,0,12,0,61.833333333333336
2025-03-05,2025-03-11,usa,0,26,0,53.53846153846154
2025-03-12,2025-03-18,usa,0,36,0,55.833333333333336
2025-03-19,2025-03-25,usa,1,22,0.045454545454545456,56.95454545454545
2025-03-26,2025-04-01,usa,0,17,0,71.11764705882354
2025-04-02,2025-04-08,usa,0,45,0,34.6
2025-04-09,2025-04-15,usa,0,21,0,63.142857142857146
2025-04-16,2025-04-22,usa,0,16,0,62.4375
2025-04-23,2025-04-29,usa,1,20,0.05,61.8
2025-04-30,2025-05-06,usa,0,27,0,52.925925925925924
2025-05-07,2025-05-13,usa,0,27,0,63.925925925925924
2025-05-14,2025-05-20,usa,0,45,0,56.977777777777774
2025-05-21,2025-05-27,usa,0,35,0,68.11428571428571
2025-05-28,2025-06-03,usa,0,41,0,57.02439024390244
2025-06-04,2025-06-10,usa,0,25,0,48.52
2025-06-11,2025-06-17,usa,0,12,0,46.666666666666664
2025-06-18,2025-06-24,usa,0,12,0,19.583333333333332
2025-06-25,2025-07-01,usa,0,17,0,26.294117647058822
2025-07-02,2025-07-08,usa,1,19,0.05263157894736842,52.78947368421053
2025-07-09,2025-07-15,usa,0,39,0,39.58974358974359
2025-07-16,2025-07-22,usa,0,57,0,73.52631578947368
2025-07-23,2025-07-29,usa,0,28,0,45.42857142857143
2025-07-30,2025-08-05,usa,0,35,0,41.34285714285714
2025-08-06,2025-08-12,usa,0,23,0,50.04347826086956
2025-08-13,2025-08-19,usa,0,31,0,48.16129032258065
2025-08-20,2025-08-20,usa,0,4,0,57.5
