start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,0,21,0,43.95238095238095
2024-05-08,2024-05-14,usa,3,126,0.023809523809523808,8.317460317460316
2024-05-15,2024-05-21,usa,1,125,0.008,8.76
2024-05-22,2024-05-28,usa,2,140,0.014285714285714285,11.735714285714286
2024-05-29,2024-06-04,usa,1,163,0.006134969325153374,9.742331288343559
2024-06-05,2024-06-11,usa,1,79,0.012658227848101266,24.531645569620252
2024-06-12,2024-06-18,usa,2,49,0.04081632653061224,19.163265306122447
2024-06-19,2024-06-25,usa,0,66,0,45.803030303030305
2024-06-26,2024-07-02,usa,0,92,0,42.54347826086956
2024-07-03,2024-07-09,usa,0,75,0,47.28
2024-07-10,2024-07-16,usa,0,61,0,61.01639344262295
2024-07-17,2024-07-23,usa,0,50,0,67.68
2024-07-24,2024-07-30,usa,0,64,0,75.109375
2024-07-31,2024-08-06,usa,0,95,0,70.90526315789474
2024-08-07,2024-08-13,usa,0,64,0,56.90625
2024-08-14,2024-08-20,usa,0,41,0,65
2024-08-21,2024-08-27,usa,0,77,0,46.857142857142854
2024-08-28,2024-09-03,usa,0,100,0,43.76
2024-09-04,2024-09-10,usa,1,59,0.01694915254237288,42.83050847457627
2024-09-11,2024-09-17,usa,0,30,0,59.666666666666664
2024-09-18,2024-09-24,usa,0,97,0,34.1958762886598
2024-09-25,2024-10-01,usa,0,41,0,51.048780487804876
2024-10-02,2024-10-08,usa,0,47,0,60.340425531914896
2024-10-09,2024-10-15,usa,0,45,0,46.91111111111111
2024-10-16,2024-10-22,usa,0,68,0,44.10294117647059
2024-10-23,2024-10-29,usa,0,52,0,44.36538461538461
2024-10-30,2024-11-05,usa,1,118,0.00847457627118644,57.440677966101696
2024-11-06,2024-11-12,usa,1,79,0.012658227848101266,49.20253164556962
2024-11-13,2024-11-19,usa,0,100,0,54.58
2024-11-20,2024-11-26,usa,0,88,0,50.03409090909091
2024-11-27,2024-12-03,usa,0,88,0,57.86363636363637
2024-12-04,2024-12-10,usa,0,89,0,61.92134831460674
2024-12-11,2024-12-17,usa,0,84,0,47.57142857142857
2024-12-18,2024-12-24,usa,0,73,0,51.863013698630134
2024-12-25,2024-12-31,usa,1,93,0.010752688172043012,54.236559139784944
2025-01-01,2025-01-07,usa,0,51,0,30.333333333333332
2025-01-08,2025-01-14,usa,0,68,0,42.588235294117645
2025-01-15,2025-01-21,usa,0,98,0,47.45918367346939
2025-01-22,2025-01-28,usa,0,81,0,41.79012345679013
2025-01-29,2025-02-04,usa,0,69,0,36.65217391304348
2025-02-05,2025-02-11,usa,1,121,0.008264462809917356,12.62809917355372
2025-02-12,2025-02-18,usa,0,57,0,40.228070175438596
2025-02-19,2025-02-25,usa,0,60,0,52.36666666666667
2025-02-26,2025-03-04,usa,0,79,0,46.30379746835443
2025-03-05,2025-03-11,usa,0,72,0,42.958333333333336
2025-03-12,2025-03-18,usa,0,95,0,44.26315789473684
2025-03-19,2025-03-25,usa,0,71,0,36.71830985915493
2025-03-26,2025-04-01,usa,0,74,0,34.486486486486484
2025-04-02,2025-04-08,usa,0,163,0,14.877300613496933
2025-04-09,2025-04-15,usa,0,240,0,11.466666666666667
2025-04-16,2025-04-22,usa,0,166,0,17.03614457831325
2025-04-23,2025-04-29,usa,1,46,0.021739130434782608,38.71739130434783
2025-04-30,2025-05-06,usa,0,53,0,33.56603773584906
2025-05-07,2025-05-13,usa,1,49,0.02040816326530612,34.55102040816327
2025-05-14,2025-05-20,usa,0,58,0,37.36206896551724
2025-05-21,2025-05-27,usa,0,88,0,38.92045454545455
2025-05-28,2025-06-03,usa,0,64,0,47.046875
2025-06-04,2025-06-10,usa,0,84,0,42.845238095238095
2025-06-11,2025-06-17,usa,0,63,0,50.04761904761905
2025-06-18,2025-06-24,usa,0,76,0,45.98684210526316
2025-06-25,2025-07-01,usa,0,106,0,22.20754716981132
2025-07-02,2025-07-08,usa,0,213,0,26.492957746478872
2025-07-09,2025-07-15,usa,0,113,0,47.04424778761062
2025-07-16,2025-07-22,usa,1,114,0.008771929824561403,47.54385964912281
2025-07-23,2025-07-29,usa,0,96,0,46.78125
2025-07-30,2025-08-05,usa,0,92,0,42.75
2025-08-06,2025-08-12,usa,0,82,0,44.28048780487805
2025-08-13,2025-08-19,usa,0,64,0,38.421875
2025-08-20,2025-08-20,usa,0,9,0,24.77777777777778
