start_date,end_date,country,clicks,impressions,ctr,position
2025-06-04,2025-06-10,usa,0,10,0,56.9
2025-06-11,2025-06-17,usa,0,35,0,68.2
2025-06-18,2025-06-24,usa,0,23,0,59.78260869565217
2025-06-25,2025-07-01,usa,0,11,0,50.27272727272727
2025-07-02,2025-07-08,usa,0,31,0,64.90322580645162
2025-07-09,2025-07-15,usa,0,39,0,62.17948717948718
2025-07-16,2025-07-22,usa,0,30,0,70.53333333333333
2025-07-23,2025-07-29,usa,0,12,0,79.75
2025-07-30,2025-08-05,usa,0,15,0,78.93333333333334
2025-08-06,2025-08-12,usa,0,9,0,70.77777777777777
