start_date,end_date,country,clicks,impressions,ctr,position
2025-06-04,2025-06-10,usa,0,8,0,9.875
2025-06-11,2025-06-17,usa,0,5,0,19.4
2025-06-25,2025-07-01,usa,2,43,0.046511627906976744,15.255813953488373
2025-07-02,2025-07-08,usa,7,262,0.026717557251908396,16.8206106870229
2025-07-09,2025-07-15,usa,4,324,0.012345679012345678,16.021604938271604
2025-07-16,2025-07-22,usa,4,300,0.013333333333333334,16.236666666666665
2025-07-23,2025-07-29,usa,8,422,0.018957345971563982,15.063981042654028
2025-07-30,2025-08-05,usa,3,376,0.007978723404255319,15.159574468085106
2025-08-06,2025-08-12,usa,5,458,0.010917030567685589,16.93886462882096
2025-08-13,2025-08-19,usa,4,353,0.0113314447592068,26.93201133144476
2025-08-20,2025-08-20,usa,0,32,0,17.21875
