start_date,end_date,country,clicks,impressions,ctr,position
2024-06-26,2024-07-02,usa,0,6,0,82.16666666666667
2024-07-03,2024-07-09,usa,0,4,0,84.5
2024-07-10,2024-07-16,usa,0,3,0,85.33333333333333
2024-09-11,2024-09-17,usa,0,1,0,98
2024-09-18,2024-09-24,usa,0,6,0,70.5
2024-09-25,2024-10-01,usa,0,10,0,71.4
2024-10-02,2024-10-08,usa,0,10,0,67.7
2024-10-09,2024-10-15,usa,0,3,0,92
2025-02-12,2025-02-18,usa,0,5,0,66
2025-02-19,2025-02-25,usa,0,36,0,85.02777777777777
2025-02-26,2025-03-04,usa,0,37,0,80.64864864864865
2025-03-05,2025-03-11,usa,0,56,0,86.80357142857143
2025-03-12,2025-03-18,usa,0,55,0,86.61818181818182
2025-03-19,2025-03-25,usa,0,71,0,84.84507042253522
2025-03-26,2025-04-01,usa,0,8,0,81.375
2025-06-18,2025-06-24,usa,0,53,0,92.30188679245283
2025-06-25,2025-07-01,usa,0,95,0,93.51578947368421
2025-07-02,2025-07-08,usa,0,183,0,90.7431693989071
2025-07-09,2025-07-15,usa,0,206,0,88.1116504854369
