start_date,end_date,country,clicks,impressions,ctr,position
2024-10-16,2024-10-22,usa,0,51,0,28.352941176470587
2024-10-23,2024-10-29,usa,1,73,0.0136986301369863,18.397260273972602
2024-10-30,2024-11-05,usa,0,94,0,17.28723404255319
2024-11-06,2024-11-12,usa,0,70,0,22.8
2024-11-13,2024-11-19,usa,0,84,0,35.07142857142857
2024-11-20,2024-11-26,usa,1,135,0.007407407407407408,37.93333333333333
2024-11-27,2024-12-03,usa,0,235,0,51.60425531914893
2024-12-04,2024-12-10,usa,0,267,0,53.232209737827716
2024-12-11,2024-12-17,usa,0,222,0,58.549549549549546
2024-12-18,2024-12-24,usa,0,174,0,65.01149425287356
2024-12-25,2024-12-31,usa,1,170,0.0058823529411764705,48.55294117647059
2025-01-01,2025-01-07,usa,0,207,0,52.38164251207729
2025-01-08,2025-01-14,usa,0,159,0,31.238993710691823
2025-01-15,2025-01-21,usa,0,131,0,29.015267175572518
2025-01-22,2025-01-28,usa,0,90,0,41.41111111111111
2025-01-29,2025-02-04,usa,0,72,0,27.166666666666668
2025-02-05,2025-02-11,usa,0,46,0,22.652173913043477
2025-02-12,2025-02-18,usa,0,48,0,14.833333333333334
2025-02-19,2025-02-25,usa,1,79,0.012658227848101266,19.531645569620252
2025-02-26,2025-03-04,usa,0,64,0,16.046875
2025-03-05,2025-03-11,usa,0,51,0,14.607843137254902
2025-03-12,2025-03-18,usa,0,49,0,24.93877551020408
2025-03-19,2025-03-25,usa,1,95,0.010526315789473684,34.915789473684214
2025-03-26,2025-04-01,usa,0,101,0,15.336633663366337
2025-04-02,2025-04-08,usa,0,118,0,11.271186440677965
2025-04-09,2025-04-15,usa,0,101,0,10.594059405940595
2025-04-16,2025-04-22,usa,0,86,0,12.418604651162791
2025-04-23,2025-04-29,usa,1,122,0.00819672131147541,12.901639344262295
2025-04-30,2025-05-06,usa,0,102,0,15.029411764705882
2025-05-07,2025-05-13,usa,1,94,0.010638297872340425,11.5
2025-05-14,2025-05-20,usa,0,88,0,10.136363636363637
2025-05-21,2025-05-27,usa,0,60,0,15.35
2025-05-28,2025-06-03,usa,1,72,0.013888888888888888,13.472222222222221
2025-06-04,2025-06-10,usa,1,102,0.00980392156862745,8.382352941176471
2025-06-11,2025-06-17,usa,1,102,0.00980392156862745,7.637254901960785
2025-06-18,2025-06-24,usa,0,69,0,11.942028985507246
2025-06-25,2025-07-01,usa,1,80,0.0125,13.725
2025-07-02,2025-07-08,usa,0,6,0,3.1666666666666665
