start_date,end_date,country,clicks,impressions,ctr,position
2024-08-21,2024-08-27,usa,0,3,0,10.666666666666666
2024-08-28,2024-09-03,usa,0,8,0,11.625
2024-09-04,2024-09-10,usa,0,10,0,10.7
2024-09-11,2024-09-17,usa,0,9,0,9.88888888888889
2024-09-18,2024-09-24,usa,0,4,0,30.25
2024-09-25,2024-10-01,usa,0,3,0,10.666666666666666
2024-10-02,2024-10-08,usa,0,4,0,10.5
2024-10-09,2024-10-15,usa,0,4,0,10.25
2024-10-16,2024-10-22,usa,0,8,0,10.875
2024-10-23,2024-10-29,usa,0,4,0,21
2024-10-30,2024-11-05,usa,0,5,0,19.8
2024-11-06,2024-11-12,usa,0,9,0,18.11111111111111
2024-11-13,2024-11-19,usa,0,9,0,11.555555555555555
2024-11-20,2024-11-26,usa,0,2,0,26
2024-11-27,2024-12-03,usa,0,8,0,16.125
2024-12-04,2024-12-10,usa,0,14,0,9.357142857142858
2024-12-11,2024-12-17,usa,0,7,0,13.142857142857142
2024-12-18,2024-12-24,usa,0,5,0,21.2
2024-12-25,2024-12-31,usa,0,13,0,21.46153846153846
2025-01-01,2025-01-07,usa,0,9,0,13.11111111111111
2025-01-08,2025-01-14,usa,0,9,0,11.11111111111111
2025-01-15,2025-01-21,usa,0,11,0,11.636363636363637
2025-01-22,2025-01-28,usa,0,7,0,11.285714285714286
2025-01-29,2025-02-04,usa,0,8,0,22.5
2025-02-05,2025-02-11,usa,0,9,0,15.88888888888889
2025-02-12,2025-02-18,usa,0,5,0,28
2025-02-19,2025-02-25,usa,0,9,0,27.333333333333332
2025-02-26,2025-03-04,usa,0,8,0,43.5
2025-03-05,2025-03-11,usa,0,2,0,40.5
2025-03-12,2025-03-18,usa,0,4,0,57.5
2025-03-19,2025-03-25,usa,0,8,0,48.375
2025-03-26,2025-04-01,usa,0,5,0,32.8
2025-04-02,2025-04-08,usa,0,2,0,44.5
2025-04-09,2025-04-15,usa,0,4,0,32.75
2025-04-16,2025-04-22,usa,0,4,0,37.75
2025-04-23,2025-04-29,usa,0,23,0,24.434782608695652
2025-04-30,2025-05-06,usa,0,11,0,19.727272727272727
2025-05-07,2025-05-13,usa,0,14,0,40
2025-05-14,2025-05-20,usa,0,14,0,15.142857142857142
2025-05-21,2025-05-27,usa,0,6,0,20
2025-05-28,2025-06-03,usa,0,13,0,27.384615384615383
2025-06-04,2025-06-10,usa,0,5,0,8.6
2025-06-11,2025-06-17,usa,0,12,0,27.666666666666668
2025-06-18,2025-06-24,usa,0,6,0,21.666666666666668
2025-06-25,2025-07-01,usa,0,8,0,11.25
2025-07-02,2025-07-08,usa,0,18,0,30.833333333333332
2025-07-09,2025-07-15,usa,0,10,0,46.2
2025-07-16,2025-07-22,usa,0,5,0,80.6
2025-07-23,2025-07-29,usa,0,17,0,48
2025-07-30,2025-08-05,usa,0,23,0,39.95652173913044
2025-08-06,2025-08-12,usa,0,33,0,46.63636363636363
2025-08-13,2025-08-19,usa,0,33,0,63.24242424242424
2025-08-20,2025-08-20,usa,0,8,0,71.25
