start_date,end_date,country,clicks,impressions,ctr,position
2024-12-11,2024-12-17,usa,0,7,0,61.142857142857146
2024-12-18,2024-12-24,usa,0,9,0,51.333333333333336
2024-12-25,2024-12-31,usa,0,6,0,47.333333333333336
2025-01-01,2025-01-07,usa,0,9,0,44.333333333333336
2025-01-08,2025-01-14,usa,0,17,0,52.11764705882353
2025-01-15,2025-01-21,usa,0,21,0,43.76190476190476
2025-01-22,2025-01-28,usa,0,19,0,43.68421052631579
2025-01-29,2025-02-04,usa,0,12,0,34.5
2025-02-05,2025-02-11,usa,0,8,0,28
2025-02-12,2025-02-18,usa,0,10,0,41.3
2025-02-19,2025-02-25,usa,0,8,0,41.5
2025-02-26,2025-03-04,usa,0,9,0,35.55555555555556
2025-03-05,2025-03-11,usa,0,8,0,43
2025-03-12,2025-03-18,usa,0,10,0,50.1
2025-03-19,2025-03-25,usa,0,8,0,49.375
2025-03-26,2025-04-01,usa,0,11,0,39.09090909090909
2025-04-02,2025-04-08,usa,0,10,0,38.9
2025-04-09,2025-04-15,usa,0,19,0,32.21052631578947
2025-04-16,2025-04-22,usa,0,21,0,35.333333333333336
2025-04-23,2025-04-29,usa,0,6,0,31.833333333333332
2025-04-30,2025-05-06,usa,0,13,0,53.92307692307692
2025-05-07,2025-05-13,usa,0,10,0,37
2025-05-14,2025-05-20,usa,0,22,0,53.31818181818182
2025-05-21,2025-05-27,usa,0,12,0,47.583333333333336
2025-05-28,2025-06-03,usa,0,7,0,56.714285714285715
2025-06-04,2025-06-10,usa,0,4,0,42.5
2025-06-11,2025-06-17,usa,0,12,0,65.41666666666667
2025-06-18,2025-06-24,usa,0,6,0,48.333333333333336
2025-06-25,2025-07-01,usa,0,11,0,44
2025-07-02,2025-07-08,usa,0,27,0,54.370370370370374
2025-07-09,2025-07-15,usa,0,48,0,53.5
2025-07-16,2025-07-22,usa,0,34,0,53.588235294117645
2025-07-23,2025-07-29,usa,0,34,0,55.294117647058826
2025-07-30,2025-08-05,usa,0,24,0,51.166666666666664
2025-08-06,2025-08-12,usa,0,30,0,58.36666666666667
2025-08-13,2025-08-19,usa,0,21,0,63.857142857142854
2025-08-20,2025-08-20,usa,0,2,0,58.5
