start_date,end_date,country,clicks,impressions,ctr,position
2024-05-08,2024-05-14,usa,0,4,0,3
2024-05-15,2024-05-21,usa,0,1,0,2
2024-05-29,2024-06-04,usa,1,1,1,3
2024-06-05,2024-06-11,usa,1,7,0.14285714285714285,2.7142857142857144
2024-06-12,2024-06-18,usa,0,3,0,4
2024-06-19,2024-06-25,usa,0,2,0,3
2024-06-26,2024-07-02,usa,0,1,0,3
2024-07-10,2024-07-16,usa,0,2,0,2
2024-07-17,2024-07-23,usa,0,5,0,2.2
2024-07-24,2024-07-30,usa,0,4,0,2.5
2024-07-31,2024-08-06,usa,0,2,0,3.5
2024-08-07,2024-08-13,usa,0,2,0,3.5
2024-08-14,2024-08-20,usa,0,2,0,5
2024-08-28,2024-09-03,usa,0,1,0,71
2024-09-25,2024-10-01,usa,0,1,0,4
2024-10-02,2024-10-08,usa,0,1,0,5
2024-10-23,2024-10-29,usa,0,5,0,5
2024-11-06,2024-11-12,usa,0,1,0,5
2024-11-13,2024-11-19,usa,0,2,0,6
2024-11-20,2024-11-26,usa,0,2,0,18.5
2024-12-04,2024-12-10,usa,0,2,0,26.5
2024-12-11,2024-12-17,usa,0,1,0,5
2024-12-18,2024-12-24,usa,0,1,0,5
2025-01-15,2025-01-21,usa,0,1,0,8
2025-01-29,2025-02-04,usa,0,5,0,5
2025-03-26,2025-04-01,usa,0,1,0,20
2025-04-09,2025-04-15,usa,0,1,0,25
2025-05-07,2025-05-13,usa,0,1,0,3
2025-05-14,2025-05-20,usa,0,1,0,83
2025-07-09,2025-07-15,usa,0,1,0,90
2025-07-16,2025-07-22,usa,0,2,0,86.5
2025-08-06,2025-08-12,usa,0,1,0,1
