start_date,end_date,country,clicks,impressions,ctr,position
2025-03-05,2025-03-11,usa,0,1,0,8
2025-03-19,2025-03-25,usa,0,1,0,2
2025-03-26,2025-04-01,usa,0,3,0,4
2025-04-02,2025-04-08,usa,0,3,0,2
2025-04-16,2025-04-22,usa,0,3,0,3.6666666666666665
2025-04-23,2025-04-29,usa,0,3,0,4.333333333333334
2025-04-30,2025-05-06,usa,0,2,0,4
2025-05-07,2025-05-13,usa,0,3,0,3.6666666666666665
2025-05-14,2025-05-20,usa,0,1,0,2
2025-05-21,2025-05-27,usa,0,5,0,7
2025-05-28,2025-06-03,usa,0,5,0,8.8
2025-06-04,2025-06-10,usa,0,5,0,10.6
2025-06-11,2025-06-17,usa,0,5,0,6
2025-06-18,2025-06-24,usa,0,5,0,9.6
2025-06-25,2025-07-01,usa,0,12,0,17.333333333333332
2025-07-02,2025-07-08,usa,0,7,0,8.428571428571429
2025-07-09,2025-07-15,usa,0,8,0,56.5
2025-07-16,2025-07-22,usa,0,15,0,41.13333333333333
2025-07-23,2025-07-29,usa,0,22,0,76.4090909090909
2025-07-30,2025-08-05,usa,0,22,0,59.40909090909091
2025-08-06,2025-08-12,usa,0,19,0,56.31578947368421
2025-08-13,2025-08-19,usa,0,5,0,48.4
2025-08-20,2025-08-23,usa,0,3,0,88
