start_date,end_date,country,clicks,impressions,ctr,position
2024-06-05,2024-06-11,usa,0,2,0,15
2024-06-12,2024-06-18,usa,0,1,0,11
2024-06-19,2024-06-25,usa,0,1,0,85
2024-06-26,2024-07-02,usa,0,2,0,48
2024-07-03,2024-07-09,usa,0,3,0,10
2024-07-10,2024-07-16,usa,0,2,0,37.5
2024-07-17,2024-07-23,usa,0,1,0,10
2024-07-24,2024-07-30,usa,0,2,0,9
2024-07-31,2024-08-06,usa,0,2,0,6.5
2024-08-07,2024-08-13,usa,0,3,0,25.333333333333332
2024-08-14,2024-08-20,usa,0,3,0,39.666666666666664
2024-08-21,2024-08-27,usa,0,4,0,19.25
2024-08-28,2024-09-03,usa,0,5,0,31.4
2024-09-04,2024-09-10,usa,0,8,0,44
2024-09-11,2024-09-17,usa,0,8,0,40
2024-09-18,2024-09-24,usa,0,3,0,25.666666666666668
2024-09-25,2024-10-01,usa,0,3,0,14.666666666666666
2024-10-09,2024-10-15,usa,0,10,0,36
2024-10-16,2024-10-22,usa,0,26,0,33.34615384615385
2024-10-23,2024-10-29,usa,0,20,0,42.05
2024-10-30,2024-11-05,usa,0,9,0,14.88888888888889
2024-11-06,2024-11-12,usa,0,49,0,37.816326530612244
2024-11-13,2024-11-19,usa,0,49,0,40.48979591836735
2024-11-20,2024-11-26,usa,0,72,0,64.43055555555556
2024-11-27,2024-12-03,usa,0,95,0,66.13684210526316
2024-12-04,2024-12-10,usa,0,97,0,62.09278350515464
2024-12-11,2024-12-17,usa,0,82,0,64.6219512195122
2024-12-18,2024-12-24,usa,0,92,0,67.72826086956522
2024-12-25,2024-12-31,usa,0,65,0,53.86153846153846
2025-01-01,2025-01-07,usa,0,19,0,61.421052631578945
2025-01-08,2025-01-14,usa,0,18,0,66.72222222222223
2025-01-15,2025-01-21,usa,0,12,0,75.75
2025-01-22,2025-01-28,usa,0,9,0,72.88888888888889
2025-01-29,2025-02-04,usa,0,1,0,82
2025-02-12,2025-02-18,usa,0,1,0,12
2025-02-19,2025-02-25,usa,0,2,0,6.5
2025-02-26,2025-03-04,usa,0,16,0,1.0625
2025-03-05,2025-03-11,usa,0,21,0,6.9523809523809526
2025-03-12,2025-03-18,usa,0,21,0,1
2025-03-19,2025-03-25,usa,0,25,0,6.12
2025-03-26,2025-04-01,usa,0,6,0,1
2025-04-02,2025-04-08,usa,0,12,0,1
2025-04-09,2025-04-15,usa,0,11,0,1
2025-04-16,2025-04-22,usa,0,11,0,16.18181818181818
2025-04-23,2025-04-29,usa,0,18,0,13.444444444444445
2025-04-30,2025-05-06,usa,0,11,0,1
2025-05-07,2025-05-13,usa,0,19,0,33.526315789473685
2025-05-14,2025-05-20,usa,0,29,0,19.310344827586206
2025-05-21,2025-05-27,usa,0,21,0,29.476190476190474
2025-05-28,2025-06-03,usa,0,15,0,28.133333333333333
2025-06-04,2025-06-10,usa,0,19,0,22.210526315789473
2025-06-11,2025-06-17,usa,0,22,0,5.318181818181818
2025-06-18,2025-06-24,usa,0,12,0,19.666666666666668
2025-06-25,2025-07-01,usa,0,14,0,14.357142857142858
2025-07-02,2025-07-08,usa,0,19,0,33.68421052631579
2025-07-09,2025-07-15,usa,0,39,0,74.84615384615384
2025-07-16,2025-07-22,usa,0,41,0,82.36585365853658
2025-07-23,2025-07-29,usa,0,38,0,94.1842105263158
2025-07-30,2025-08-05,usa,0,10,0,84.9
2025-08-06,2025-08-12,usa,0,9,0,93.33333333333333
2025-08-13,2025-08-19,usa,0,17,0,73.82352941176471
2025-08-20,2025-08-23,usa,0,10,0,80.7
