start_date,end_date,country,clicks,impressions,ctr,position
2025-01-01,2025-01-07,usa,0,2,0,42
2025-01-08,2025-01-14,usa,0,3,0,58.333333333333336
2025-02-26,2025-03-04,usa,0,3,0,23
2025-03-05,2025-03-11,usa,0,6,0,47.5
2025-03-12,2025-03-18,usa,0,1,0,63
2025-03-19,2025-03-25,usa,0,5,0,38.6
2025-03-26,2025-04-01,usa,0,2,0,44
2025-04-02,2025-04-08,usa,0,10,0,34.8
2025-04-09,2025-04-15,usa,0,5,0,44
2025-04-16,2025-04-22,usa,0,6,0,47.333333333333336
2025-04-23,2025-04-29,usa,0,7,0,35.857142857142854
2025-04-30,2025-05-06,usa,0,8,0,43.375
2025-05-07,2025-05-13,usa,0,12,0,41.75
2025-05-14,2025-05-20,usa,0,5,0,66
2025-05-21,2025-05-27,usa,0,2,0,64.5
2025-05-28,2025-06-03,usa,0,4,0,57
2025-06-04,2025-06-10,usa,0,2,0,51
2025-06-11,2025-06-17,usa,0,2,0,54
2025-06-18,2025-06-24,usa,0,1,0,45
2025-06-25,2025-07-01,usa,0,4,0,31
2025-07-02,2025-07-08,usa,0,9,0,50.55555555555556
2025-07-09,2025-07-15,usa,0,4,0,50.25
2025-07-16,2025-07-22,usa,0,5,0,51.2
2025-07-23,2025-07-29,usa,0,23,0,46.608695652173914
2025-07-30,2025-08-05,usa,0,6,0,41
2025-08-06,2025-08-12,usa,0,17,0,50.588235294117645
2025-08-13,2025-08-19,usa,0,6,0,28.5
2025-08-20,2025-08-20,usa,0,2,0,49.5
