start_date,end_date,country,clicks,impressions,ctr,position
2024-05-29,2024-06-04,usa,0,2,0,55
2024-06-05,2024-06-11,usa,0,2,0,58
2024-06-12,2024-06-18,usa,0,6,0,44.5
2024-06-19,2024-06-25,usa,0,7,0,40.142857142857146
2024-06-26,2024-07-02,usa,0,3,0,44
2024-07-03,2024-07-09,usa,0,8,0,58.125
2024-07-10,2024-07-16,usa,0,4,0,46.75
2024-07-17,2024-07-23,usa,0,4,0,61.75
2024-07-24,2024-07-30,usa,0,2,0,94
2024-07-31,2024-08-06,usa,0,2,0,70
2024-08-07,2024-08-13,usa,0,1,0,61
2024-08-14,2024-08-20,usa,0,6,0,49.666666666666664
2024-08-21,2024-08-27,usa,0,2,0,68
2024-08-28,2024-09-03,usa,0,1,0,98
2024-09-04,2024-09-10,usa,0,1,0,56
2024-09-11,2024-09-17,usa,0,6,0,47.166666666666664
2024-09-18,2024-09-24,usa,0,6,0,35.833333333333336
2024-09-25,2024-10-01,usa,0,10,0,60.1
2024-10-02,2024-10-08,usa,0,6,0,59.333333333333336
2024-10-09,2024-10-15,usa,0,2,0,58.5
2024-10-16,2024-10-22,usa,0,3,0,46
2024-10-23,2024-10-29,usa,0,5,0,46
2024-10-30,2024-11-05,usa,0,4,0,41
2024-11-06,2024-11-12,usa,0,8,0,37.125
2024-11-13,2024-11-19,usa,0,9,0,34.888888888888886
2024-11-20,2024-11-26,usa,0,15,0,32.66666666666667
2024-11-27,2024-12-03,usa,0,5,0,36.6
2024-12-04,2024-12-10,usa,0,2,0,25
2024-12-11,2024-12-17,usa,0,10,0,29.3
2024-12-18,2024-12-24,usa,0,13,0,28.923076923076923
2024-12-25,2024-12-31,usa,0,4,0,33.75
2025-01-01,2025-01-07,usa,0,7,0,31.285714285714285
2025-01-08,2025-01-14,usa,0,7,0,28
2025-01-15,2025-01-21,usa,0,10,0,26.9
2025-01-22,2025-01-28,usa,0,7,0,23
2025-01-29,2025-02-04,usa,0,7,0,28.857142857142858
2025-02-05,2025-02-11,usa,0,5,0,34.2
2025-02-12,2025-02-18,usa,0,4,0,29.5
2025-02-19,2025-02-25,usa,0,7,0,24.428571428571427
2025-02-26,2025-03-04,usa,0,8,0,30.375
2025-03-05,2025-03-11,usa,0,4,0,43.5
2025-03-12,2025-03-18,usa,0,11,0,28.272727272727273
2025-03-19,2025-03-25,usa,0,8,0,33.75
2025-03-26,2025-04-01,usa,0,5,0,26.2
2025-04-02,2025-04-08,usa,0,6,0,27
2025-04-09,2025-04-15,usa,0,9,0,26.444444444444443
2025-04-16,2025-04-22,usa,0,20,0,27.1
2025-04-23,2025-04-29,usa,0,12,0,30
2025-04-30,2025-05-06,usa,0,7,0,34.42857142857143
2025-05-07,2025-05-13,usa,0,14,0,30.5
2025-05-14,2025-05-20,usa,0,17,0,35.529411764705884
2025-05-21,2025-05-27,usa,0,13,0,40.84615384615385
2025-05-28,2025-06-03,usa,0,14,0,44.5
2025-06-04,2025-06-10,usa,0,7,0,45.42857142857143
2025-06-11,2025-06-17,usa,0,12,0,43.833333333333336
2025-06-18,2025-06-24,usa,0,24,0,47.458333333333336
2025-06-25,2025-07-01,usa,0,14,0,20.357142857142858
2025-07-02,2025-07-08,usa,0,26,0,38.69230769230769
2025-07-09,2025-07-15,usa,0,37,0,37.62162162162162
2025-07-16,2025-07-22,usa,0,19,0,39.94736842105263
2025-07-23,2025-07-29,usa,0,19,0,33.8421052631579
2025-07-30,2025-08-05,usa,0,10,0,31.2
2025-08-06,2025-08-12,usa,0,24,0,30.875
2025-08-13,2025-08-19,usa,0,13,0,42.23076923076923
2025-08-20,2025-08-20,usa,0,3,0,31
