start_date,end_date,country,clicks,impressions,ctr,position
2024-12-11,2024-12-17,usa,0,8,0,64.75
2024-12-18,2024-12-24,usa,0,19,0,57.78947368421053
2024-12-25,2024-12-31,usa,0,7,0,46.142857142857146
2025-01-01,2025-01-07,usa,0,13,0,58.53846153846154
2025-01-08,2025-01-14,usa,0,13,0,34
2025-01-15,2025-01-21,usa,0,7,0,34.142857142857146
2025-01-22,2025-01-28,usa,0,11,0,49.36363636363637
2025-01-29,2025-02-04,usa,0,14,0,39.5
2025-02-05,2025-02-11,usa,0,8,0,50
2025-02-12,2025-02-18,usa,0,9,0,36.888888888888886
2025-02-19,2025-02-25,usa,0,14,0,37.714285714285715
2025-02-26,2025-03-04,usa,0,20,0,35.3
2025-03-05,2025-03-11,usa,0,16,0,38.3125
2025-03-12,2025-03-18,usa,0,21,0,35.76190476190476
2025-03-19,2025-03-25,usa,0,21,0,44.333333333333336
2025-03-26,2025-04-01,usa,0,23,0,51.43478260869565
2025-04-02,2025-04-08,usa,0,14,0,40.357142857142854
2025-04-09,2025-04-15,usa,0,13,0,38.07692307692308
2025-04-16,2025-04-22,usa,0,11,0,44.36363636363637
2025-04-23,2025-04-29,usa,0,27,0,39.333333333333336
2025-04-30,2025-05-06,usa,0,23,0,55.82608695652174
2025-05-07,2025-05-13,usa,0,15,0,46.13333333333333
2025-05-14,2025-05-20,usa,0,17,0,57.588235294117645
2025-05-21,2025-05-27,usa,0,19,0,60.89473684210526
2025-05-28,2025-06-03,usa,0,31,0,65.90322580645162
2025-06-04,2025-06-10,usa,0,25,0,50.92
2025-06-11,2025-06-17,usa,0,24,0,60.25
2025-06-18,2025-06-24,usa,0,10,0,57.5
2025-06-25,2025-07-01,usa,0,23,0,39.56521739130435
2025-07-02,2025-07-08,usa,0,56,0,55.857142857142854
2025-07-09,2025-07-15,usa,0,50,0,54.74
2025-07-16,2025-07-22,usa,0,49,0,52.3469387755102
2025-07-23,2025-07-29,usa,0,35,0,55.48571428571429
2025-07-30,2025-08-05,usa,0,36,0,55
2025-08-06,2025-08-12,usa,0,32,0,53.5625
2025-08-13,2025-08-19,usa,0,19,0,71.42105263157895
2025-08-20,2025-08-23,usa,0,5,0,85.6
