start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,0,10,0,99.3
2024-05-08,2024-05-14,usa,0,1,0,82
2024-05-22,2024-05-28,usa,0,2,0,91.5
2024-06-05,2024-06-11,usa,0,6,0,91.16666666666667
2024-06-12,2024-06-18,usa,0,4,0,76.5
2024-06-19,2024-06-25,usa,0,1,0,65
2024-06-26,2024-07-02,usa,0,2,0,79.5
2024-07-17,2024-07-23,usa,0,1,0,53
2024-07-24,2024-07-30,usa,0,1,0,54
2024-07-31,2024-08-06,usa,0,1,0,61
2024-08-07,2024-08-13,usa,0,1,0,11
2024-08-14,2024-08-20,usa,0,5,0,22.2
2024-08-21,2024-08-27,usa,0,13,0,24.53846153846154
2024-08-28,2024-09-03,usa,0,19,0,8.31578947368421
2024-09-04,2024-09-10,usa,0,9,0,14.555555555555555
2024-09-11,2024-09-17,usa,0,10,0,6.3
2024-09-18,2024-09-24,usa,0,9,0,7.111111111111111
2024-09-25,2024-10-01,usa,0,7,0,16.714285714285715
2024-10-02,2024-10-08,usa,0,8,0,9.375
2024-10-09,2024-10-15,usa,0,5,0,20.2
2024-10-16,2024-10-22,usa,0,7,0,9.857142857142858
2024-10-23,2024-10-29,usa,0,4,0,28
2024-10-30,2024-11-05,usa,0,5,0,8.8
2024-11-06,2024-11-12,usa,0,10,0,29.2
2024-11-13,2024-11-19,usa,0,9,0,11.11111111111111
2024-11-20,2024-11-26,usa,0,3,0,24.333333333333332
2024-11-27,2024-12-03,usa,0,10,0,13.5
2024-12-04,2024-12-10,usa,0,20,0,17
2024-12-11,2024-12-17,usa,0,11,0,15.454545454545455
2024-12-18,2024-12-24,usa,0,6,0,7.166666666666667
2024-12-25,2024-12-31,usa,0,10,0,8.3
2025-01-01,2025-01-07,usa,0,6,0,9.666666666666666
2025-01-08,2025-01-14,usa,0,6,0,8.5
2025-01-15,2025-01-21,usa,0,1,0,11
2025-01-22,2025-01-28,usa,0,4,0,11.5
2025-01-29,2025-02-04,usa,0,3,0,26.333333333333332
2025-02-05,2025-02-11,usa,0,7,0,6.857142857142857
2025-02-12,2025-02-18,usa,0,6,0,5.5
2025-02-19,2025-02-25,usa,0,4,0,2.5
2025-02-26,2025-03-04,usa,0,7,0,2.7142857142857144
2025-03-05,2025-03-11,usa,0,4,0,19.25
2025-03-12,2025-03-18,usa,0,2,0,9.5
2025-03-19,2025-03-25,usa,0,1,0,2
2025-03-26,2025-04-01,usa,0,3,0,8.333333333333332
2025-04-02,2025-04-08,usa,0,4,0,9.5
2025-04-09,2025-04-15,usa,0,7,0,10.285714285714286
2025-04-23,2025-04-29,usa,0,7,0,15.142857142857142
2025-04-30,2025-05-06,usa,0,7,0,17
2025-05-07,2025-05-13,usa,0,7,0,35.57142857142857
2025-05-14,2025-05-20,usa,0,11,0,9.545454545454545
2025-05-21,2025-05-27,usa,0,5,0,5.2
2025-05-28,2025-06-03,usa,0,3,0,5
2025-06-04,2025-06-10,usa,0,3,0,7.666666666666667
2025-06-18,2025-06-24,usa,0,2,0,10
2025-06-25,2025-07-01,usa,0,8,0,19.125
2025-07-02,2025-07-08,usa,0,6,0,36.666666666666664
2025-07-09,2025-07-15,usa,0,4,0,28.25
2025-07-16,2025-07-22,usa,0,9,0,6.888888888888889
2025-07-23,2025-07-29,usa,0,4,0,10.75
2025-07-30,2025-08-05,usa,0,8,0,11.125
2025-08-06,2025-08-12,usa,0,9,0,10.88888888888889
2025-08-13,2025-08-19,usa,0,3,0,11
