start_date,end_date,country,clicks,impressions,ctr,position
2024-06-05,2024-06-11,usa,0,2,0,9
2024-06-19,2024-06-25,usa,0,1,0,88
2024-06-26,2024-07-02,usa,0,1,0,100
2024-07-03,2024-07-09,usa,0,2,0,94.5
2024-07-10,2024-07-16,usa,0,3,0,41
2024-07-24,2024-07-30,usa,0,1,0,101
2024-07-31,2024-08-06,usa,0,2,0,81
2024-08-07,2024-08-13,usa,0,1,0,50
2024-08-14,2024-08-20,usa,0,2,0,60.5
2024-08-21,2024-08-27,usa,0,1,0,60
2024-09-11,2024-09-17,usa,0,4,0,11.5
2024-09-18,2024-09-24,usa,0,5,0,15
2024-09-25,2024-10-01,usa,0,3,0,29.666666666666668
2024-10-02,2024-10-08,usa,0,3,0,12.333333333333334
2024-10-09,2024-10-15,usa,0,2,0,12
2024-10-16,2024-10-22,usa,0,5,0,23.8
2024-10-23,2024-10-29,usa,0,5,0,10.8
2024-10-30,2024-11-05,usa,0,1,0,10
2024-11-06,2024-11-12,usa,0,7,0,9
2024-11-13,2024-11-19,usa,0,10,0,11
2024-11-20,2024-11-26,usa,0,5,0,7.6
2024-11-27,2024-12-03,usa,0,4,0,8.25
2024-12-04,2024-12-10,usa,0,2,0,8.5
2024-12-11,2024-12-17,usa,0,5,0,11
2024-12-18,2024-12-24,usa,0,7,0,7.571428571428571
2024-12-25,2024-12-31,usa,0,4,0,8
2025-01-01,2025-01-07,usa,0,7,0,18.714285714285715
2025-01-08,2025-01-14,usa,0,4,0,8.75
2025-01-15,2025-01-21,usa,0,6,0,9.333333333333334
2025-01-22,2025-01-28,usa,0,6,0,9
2025-03-05,2025-03-11,usa,0,1,0,10
2025-03-12,2025-03-18,usa,0,2,0,9
2025-03-19,2025-03-25,usa,0,2,0,45
2025-03-26,2025-04-01,usa,0,1,0,10
2025-04-09,2025-04-15,usa,0,2,0,8.5
2025-04-16,2025-04-22,usa,0,3,0,11
2025-04-23,2025-04-29,usa,0,7,0,11.142857142857142
2025-05-21,2025-05-27,usa,0,1,0,42
2025-06-04,2025-06-10,usa,0,1,0,84
2025-06-11,2025-06-17,usa,0,2,0,10.5
2025-06-25,2025-07-01,usa,0,1,0,47
2025-07-09,2025-07-15,usa,0,2,0,13
2025-07-16,2025-07-22,usa,0,2,0,68.5
2025-07-23,2025-07-29,usa,0,4,0,94.5
2025-07-30,2025-08-05,usa,0,10,0,76.5
2025-08-06,2025-08-12,usa,0,10,0,49.8
2025-08-13,2025-08-19,usa,0,2,0,65.5
