start_date,end_date,country,clicks,impressions,ctr,position
2024-08-21,2024-08-27,usa,0,1,0,29
2024-08-28,2024-09-03,usa,0,1,0,95
2024-09-04,2024-09-10,usa,0,5,0,50.2
2024-09-11,2024-09-17,usa,0,2,0,38.5
2024-09-18,2024-09-24,usa,0,3,0,29.666666666666668
2024-09-25,2024-10-01,usa,0,1,0,10
2024-10-02,2024-10-08,usa,0,4,0,53
2024-10-09,2024-10-15,usa,0,3,0,18
2024-10-16,2024-10-22,usa,0,3,0,36.333333333333336
2024-10-23,2024-10-29,usa,0,4,0,8.5
2024-10-30,2024-11-05,usa,0,5,0,40.8
2024-11-06,2024-11-12,usa,0,11,0,26.181818181818183
2024-11-13,2024-11-19,usa,1,19,0.05263157894736842,25.05263157894737
2024-11-20,2024-11-26,usa,0,10,0,33.1
2024-11-27,2024-12-03,usa,0,5,0,43
2024-12-04,2024-12-10,usa,0,11,0,42.09090909090909
2024-12-11,2024-12-17,usa,0,8,0,41.75
2024-12-18,2024-12-24,usa,0,4,0,41.25
2024-12-25,2024-12-31,usa,0,3,0,51
2025-01-01,2025-01-07,usa,0,4,0,23
2025-01-08,2025-01-14,usa,0,5,0,27.8
2025-01-15,2025-01-21,usa,0,4,0,28
2025-01-22,2025-01-28,usa,0,6,0,27.833333333333332
2025-01-29,2025-02-04,usa,0,3,0,39.333333333333336
2025-02-05,2025-02-11,usa,0,2,0,11
2025-02-12,2025-02-18,usa,0,4,0,19.75
2025-03-05,2025-03-11,usa,0,2,0,33.5
2025-03-26,2025-04-01,usa,0,3,0,54.333333333333336
2025-04-09,2025-04-15,usa,0,1,0,24
2025-04-16,2025-04-22,usa,0,1,0,1
2025-04-23,2025-04-29,usa,0,3,0,24.333333333333332
2025-04-30,2025-05-06,usa,0,1,0,21
2025-05-14,2025-05-20,usa,0,1,0,22
2025-05-28,2025-06-03,usa,0,2,0,21
2025-06-04,2025-06-10,usa,0,4,0,34
2025-06-11,2025-06-17,usa,0,3,0,35
2025-06-18,2025-06-24,usa,0,4,0,31.75
2025-06-25,2025-07-01,usa,0,3,0,18.333333333333332
2025-07-02,2025-07-08,usa,0,5,0,17.2
2025-07-09,2025-07-15,usa,0,5,0,28
2025-07-16,2025-07-22,usa,0,14,0,15.071428571428571
2025-07-23,2025-07-29,usa,0,3,0,10
2025-07-30,2025-08-05,usa,0,3,0,16.666666666666664
2025-08-06,2025-08-12,usa,0,1,0,34
2025-08-13,2025-08-19,usa,0,4,0,48
2025-08-20,2025-08-23,usa,0,3,0,64.33333333333334
