start_date,end_date,country,clicks,impressions,ctr,position
2024-10-02,2024-10-08,usa,0,1,0,20
2024-10-16,2024-10-22,usa,0,1,0,9
2024-10-23,2024-10-29,usa,0,1,0,10
2024-11-06,2024-11-12,usa,0,6,0,8.166666666666668
2024-11-13,2024-11-19,usa,0,1,0,6
2024-11-20,2024-11-26,usa,0,5,0,16.2
2024-11-27,2024-12-03,usa,0,3,0,2.333333333333333
2024-12-04,2024-12-10,usa,0,2,0,5.5
2024-12-11,2024-12-17,usa,0,3,0,6
2024-12-18,2024-12-24,usa,0,2,0,7.5
2024-12-25,2024-12-31,usa,0,3,0,15.333333333333334
2025-01-01,2025-01-07,usa,0,1,0,10
2025-01-08,2025-01-14,usa,0,1,0,8
2025-01-15,2025-01-21,usa,0,1,0,8
2025-01-22,2025-01-28,usa,0,1,0,6
2025-01-29,2025-02-04,usa,0,2,0,32.5
2025-02-05,2025-02-11,usa,0,4,0,30.75
2025-02-12,2025-02-18,usa,0,2,0,48
2025-02-19,2025-02-25,usa,0,1,0,10
2025-02-26,2025-03-04,usa,0,6,0,37.833333333333336
2025-03-05,2025-03-11,usa,0,5,0,40.2
2025-03-12,2025-03-18,usa,0,5,0,36.4
2025-03-19,2025-03-25,usa,0,48,0,10.354166666666666
2025-03-26,2025-04-01,usa,0,97,0,7.278350515463917
2025-04-02,2025-04-08,usa,0,4,0,10.25
2025-04-09,2025-04-15,usa,0,4,0,24.25
2025-04-16,2025-04-22,usa,0,4,0,21
2025-04-23,2025-04-29,usa,0,4,0,26.25
2025-04-30,2025-05-06,usa,0,4,0,35.75
2025-05-07,2025-05-13,usa,0,6,0,21.333333333333332
2025-05-14,2025-05-20,usa,0,1,0,82
2025-05-21,2025-05-27,usa,0,3,0,49.666666666666664
2025-05-28,2025-06-03,usa,0,1,0,21
2025-06-04,2025-06-10,usa,0,1,0,16
2025-06-11,2025-06-17,usa,0,6,0,79.66666666666667
2025-06-18,2025-06-24,usa,0,7,0,76.42857142857143
2025-06-25,2025-07-01,usa,0,3,0,83.66666666666667
2025-07-02,2025-07-08,usa,0,1,0,18
2025-07-16,2025-07-22,usa,0,1,0,1
2025-07-23,2025-07-29,usa,0,6,0,17.833333333333332
2025-07-30,2025-08-05,usa,0,7,0,15.428571428571429
2025-08-20,2025-08-23,usa,0,1,0,26
