start_date,end_date,country,clicks,impressions,ctr,position
2024-05-08,2024-05-14,usa,0,1,0,1
2024-05-15,2024-05-21,usa,0,3,0,8.333333333333332
2024-05-22,2024-05-28,usa,0,5,0,19.8
2024-05-29,2024-06-04,usa,0,3,0,3.6666666666666665
2024-06-05,2024-06-11,usa,0,3,0,1
2024-06-12,2024-06-18,usa,0,1,0,12
2024-06-19,2024-06-25,usa,0,1,0,44
2024-06-26,2024-07-02,usa,0,7,0,15
2024-07-03,2024-07-09,usa,0,11,0,12.090909090909092
2024-07-10,2024-07-16,usa,0,8,0,1
2024-07-17,2024-07-23,usa,0,6,0,19.666666666666668
2024-07-24,2024-07-30,usa,0,6,0,2.333333333333333
2024-07-31,2024-08-06,usa,0,8,0,12.5
2024-08-07,2024-08-13,usa,0,11,0,6.636363636363637
2024-08-14,2024-08-20,usa,0,19,0,17.105263157894736
2024-08-21,2024-08-27,usa,0,19,0,54.73684210526316
2024-08-28,2024-09-03,usa,0,14,0,67.28571428571429
2024-09-04,2024-09-10,usa,0,20,0,62.25
2024-09-11,2024-09-17,usa,0,14,0,27.714285714285715
2024-09-18,2024-09-24,usa,0,12,0,39.583333333333336
2024-09-25,2024-10-01,usa,0,20,0,49.3
2024-10-02,2024-10-08,usa,0,23,0,56.04347826086956
2024-10-09,2024-10-15,usa,0,31,0,53.41935483870968
2024-10-16,2024-10-22,usa,0,40,0,54.625
2024-10-23,2024-10-29,usa,0,8,0,58
2024-10-30,2024-11-05,usa,0,29,0,87.37931034482759
2024-11-06,2024-11-12,usa,0,28,0,81.14285714285714
2024-11-13,2024-11-19,usa,0,43,0,89.06976744186046
2024-11-20,2024-11-26,usa,0,70,0,48.65714285714286
2024-11-27,2024-12-03,usa,0,50,0,82.12
2024-12-04,2024-12-10,usa,0,77,0,84.72727272727273
2024-12-11,2024-12-17,usa,0,44,0,84.70454545454545
2024-12-18,2024-12-24,usa,0,69,0,79.5072463768116
2024-12-25,2024-12-31,usa,0,91,0,76.73626373626374
2025-01-01,2025-01-07,usa,0,107,0,77.4392523364486
2025-01-08,2025-01-14,usa,0,29,0,80.55172413793103
2025-01-15,2025-01-21,usa,0,26,0,81.46153846153847
2025-01-22,2025-01-28,usa,0,12,0,64.83333333333334
2025-01-29,2025-02-04,usa,0,2,0,53.5
2025-02-05,2025-02-11,usa,0,5,0,75.4
2025-02-12,2025-02-18,usa,0,3,0,48.333333333333336
2025-02-19,2025-02-25,usa,0,1,0,55
2025-02-26,2025-03-04,usa,0,3,0,70.66666666666667
2025-03-05,2025-03-11,usa,0,4,0,71
2025-03-12,2025-03-18,usa,0,7,0,84.71428571428571
2025-03-19,2025-03-25,usa,0,8,0,67.5
2025-03-26,2025-04-01,usa,0,21,0,40.38095238095238
2025-04-02,2025-04-08,usa,0,22,0,45.54545454545455
2025-04-09,2025-04-15,usa,0,17,0,51.64705882352941
2025-04-16,2025-04-22,usa,0,28,0,60.035714285714285
2025-04-23,2025-04-29,usa,0,34,0,53.55882352941177
2025-04-30,2025-05-06,usa,0,38,0,58.13157894736842
2025-05-07,2025-05-13,usa,0,33,0,56.21212121212121
2025-05-14,2025-05-20,usa,1,21,0.047619047619047616,61.285714285714285
2025-05-21,2025-05-27,usa,0,17,0,48.64705882352941
2025-05-28,2025-06-03,usa,0,16,0,51.8125
2025-06-04,2025-06-10,usa,1,28,0.03571428571428571,50.25
2025-06-11,2025-06-17,usa,0,15,0,49.13333333333333
2025-06-18,2025-06-24,usa,0,16,0,54.375
2025-06-25,2025-07-01,usa,1,21,0.047619047619047616,50.523809523809526
2025-07-02,2025-07-08,usa,0,98,0,70.59183673469387
2025-07-09,2025-07-15,usa,0,31,0,60.38709677419355
2025-07-16,2025-07-22,usa,0,144,0,63.638888888888886
2025-07-23,2025-07-29,usa,0,211,0,72.6824644549763
2025-07-30,2025-08-05,usa,0,195,0,74.3076923076923
2025-08-06,2025-08-12,usa,0,228,0,68.4342105263158
2025-08-13,2025-08-19,usa,0,229,0,70.60698689956332
2025-08-20,2025-08-20,usa,0,46,0,66
