start_date,end_date,country,clicks,impressions,ctr,position
2024-08-14,2024-08-20,usa,0,14,0,46.57142857142857
2024-08-21,2024-08-27,usa,0,11,0,37
2024-08-28,2024-09-03,usa,0,14,0,40.785714285714285
2024-09-04,2024-09-10,usa,0,17,0,47.588235294117645
2024-09-11,2024-09-17,usa,0,17,0,35.94117647058823
2024-09-18,2024-09-24,usa,0,11,0,43.45454545454545
2024-09-25,2024-10-01,usa,0,18,0,37.833333333333336
2024-10-02,2024-10-08,usa,0,15,0,35.4
2024-10-09,2024-10-15,usa,0,7,0,35.714285714285715
2024-10-16,2024-10-22,usa,0,9,0,40.111111111111114
2024-10-23,2024-10-29,usa,0,7,0,22.428571428571427
2024-10-30,2024-11-05,usa,0,3,0,30
2024-11-06,2024-11-12,usa,0,11,0,32.45454545454545
2024-11-13,2024-11-19,usa,0,16,0,18.125
2024-11-20,2024-11-26,usa,0,50,0,12.5
2024-11-27,2024-12-03,usa,0,18,0,22.61111111111111
2024-12-04,2024-12-10,usa,0,49,0,14.36734693877551
2024-12-11,2024-12-17,usa,0,9,0,40.44444444444444
2024-12-18,2024-12-24,usa,0,8,0,16.75
2024-12-25,2024-12-31,usa,0,11,0,12.363636363636363
2025-01-01,2025-01-07,usa,0,8,0,20.625
2025-01-08,2025-01-14,usa,0,3,0,11.333333333333334
