start_date,end_date,country,clicks,impressions,ctr,position
2024-05-15,2024-05-21,usa,0,3,0,25.666666666666668
2024-05-22,2024-05-28,usa,0,1,0,75
2024-05-29,2024-06-04,usa,0,1,0,99
2024-06-05,2024-06-11,usa,0,2,0,62.5
2024-06-19,2024-06-25,usa,0,3,0,70.33333333333333
2024-06-26,2024-07-02,usa,0,2,0,78.5
2024-07-03,2024-07-09,usa,0,6,0,69
2024-07-10,2024-07-16,usa,0,5,0,67.2
2024-07-17,2024-07-23,usa,0,2,0,73
2024-07-24,2024-07-30,usa,0,1,0,89
2024-07-31,2024-08-06,usa,0,4,0,57.25
2024-08-07,2024-08-13,usa,0,6,0,49.833333333333336
2024-08-14,2024-08-20,usa,0,3,0,32
2024-08-21,2024-08-27,usa,0,7,0,23.285714285714285
2024-08-28,2024-09-03,usa,0,10,0,28
2024-09-04,2024-09-10,usa,0,2,0,23.5
2024-09-11,2024-09-17,usa,0,1,0,49
2024-09-18,2024-09-24,usa,0,3,0,36.333333333333336
2024-09-25,2024-10-01,usa,0,4,0,30
2024-10-09,2024-10-15,usa,0,18,0,54.55555555555556
2024-10-16,2024-10-22,usa,0,18,0,53.388888888888886
2024-10-23,2024-10-29,usa,0,15,0,54
2024-10-30,2024-11-05,usa,0,18,0,59.333333333333336
2024-11-06,2024-11-12,usa,0,12,0,72.41666666666667
2024-11-13,2024-11-19,usa,0,6,0,38.833333333333336
2024-11-20,2024-11-26,usa,0,10,0,60.4
2024-11-27,2024-12-03,usa,0,6,0,48.333333333333336
2024-12-04,2024-12-10,usa,0,5,0,56.4
2024-12-11,2024-12-17,usa,0,6,0,47.666666666666664
2024-12-18,2024-12-24,usa,0,2,0,58.5
2024-12-25,2024-12-31,usa,0,2,0,46.5
2025-01-01,2025-01-07,usa,0,3,0,53.333333333333336
2025-01-15,2025-01-21,usa,0,3,0,55.333333333333336
2025-01-22,2025-01-28,usa,0,2,0,46
2025-01-29,2025-02-04,usa,0,1,0,46
2025-02-05,2025-02-11,usa,0,1,0,11
2025-02-12,2025-02-18,usa,0,2,0,17
2025-02-19,2025-02-25,usa,0,1,0,58
2025-02-26,2025-03-04,usa,0,2,0,30
2025-03-05,2025-03-11,usa,0,2,0,57
2025-03-12,2025-03-18,usa,0,7,0,33
2025-03-19,2025-03-25,usa,0,1,0,12
2025-03-26,2025-04-01,usa,0,4,0,10
2025-04-02,2025-04-08,usa,0,4,0,12.5
2025-04-09,2025-04-15,usa,0,6,0,27.5
2025-04-16,2025-04-22,usa,0,1,0,13
2025-04-23,2025-04-29,usa,0,2,0,24.5
2025-04-30,2025-05-06,usa,0,4,0,22
2025-05-07,2025-05-13,usa,0,4,0,23.5
2025-05-14,2025-05-20,usa,0,1,0,27
2025-05-21,2025-05-27,usa,0,4,0,17.25
2025-05-28,2025-06-03,usa,0,3,0,11
2025-06-04,2025-06-10,usa,0,3,0,24
2025-06-11,2025-06-17,usa,0,1,0,7
2025-06-18,2025-06-24,usa,0,1,0,8
2025-06-25,2025-07-01,usa,0,6,0,50.333333333333336
2025-07-02,2025-07-08,usa,0,10,0,35.6
2025-07-09,2025-07-15,usa,0,1,0,47
