start_date,end_date,country,clicks,impressions,ctr,position
2024-05-15,2024-05-21,usa,0,1,0,59
2024-05-29,2024-06-04,usa,0,2,0,6.5
2024-06-05,2024-06-11,usa,0,3,0,38.666666666666664
2024-06-12,2024-06-18,usa,0,5,0,51
2024-06-19,2024-06-25,usa,0,8,0,51.375
2024-06-26,2024-07-02,usa,0,6,0,43.833333333333336
2024-07-03,2024-07-09,usa,0,12,0,51.333333333333336
2024-07-10,2024-07-16,usa,0,7,0,51.714285714285715
2024-07-17,2024-07-23,usa,0,2,0,42
2024-07-24,2024-07-30,usa,0,7,0,38.42857142857143
2024-07-31,2024-08-06,usa,0,8,0,49.5
2024-08-07,2024-08-13,usa,0,5,0,32.8
2024-08-14,2024-08-20,usa,0,8,0,42.75
2024-08-21,2024-08-27,usa,0,4,0,33.5
2024-08-28,2024-09-03,usa,0,3,0,45.666666666666664
2024-09-04,2024-09-10,usa,0,13,0,39.38461538461539
2024-09-11,2024-09-17,usa,0,2,0,60
2024-09-18,2024-09-24,usa,0,4,0,53.25
2024-09-25,2024-10-01,usa,0,4,0,67.75
2024-10-02,2024-10-08,usa,0,8,0,64.5
2024-10-09,2024-10-15,usa,0,3,0,63.333333333333336
2024-10-16,2024-10-22,usa,0,6,0,44.333333333333336
2024-10-23,2024-10-29,usa,0,4,0,36.5
2024-10-30,2024-11-05,usa,0,4,0,15.75
2024-11-06,2024-11-12,usa,0,3,0,42.666666666666664
2024-11-13,2024-11-19,usa,0,5,0,46
2024-11-20,2024-11-26,usa,0,7,0,50.285714285714285
2024-11-27,2024-12-03,usa,0,2,0,64.5
2024-12-04,2024-12-10,usa,0,1,0,29
2024-12-11,2024-12-17,usa,0,3,0,57
