start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,0,4,0,8.5
2024-05-08,2024-05-14,usa,0,2,0,7
2024-05-29,2024-06-04,usa,0,1,0,35
2024-06-05,2024-06-11,usa,0,1,0,89
2024-06-26,2024-07-02,usa,0,1,0,94
2024-07-03,2024-07-09,usa,0,1,0,61
2024-07-10,2024-07-16,usa,0,2,0,5
2024-07-17,2024-07-23,usa,0,1,0,81
2024-07-24,2024-07-30,usa,0,2,0,74.5
2024-07-31,2024-08-06,usa,0,3,0,78.33333333333333
2024-08-07,2024-08-13,usa,0,4,0,51.25
2024-08-14,2024-08-20,usa,0,7,0,27.714285714285715
2024-08-21,2024-08-27,usa,0,4,0,58
2024-08-28,2024-09-03,usa,0,16,0,14.6875
2024-09-04,2024-09-10,usa,0,18,0,16.27777777777778
2024-09-11,2024-09-17,usa,0,13,0,9.23076923076923
2024-09-18,2024-09-24,usa,0,7,0,50.57142857142857
2024-09-25,2024-10-01,usa,0,11,0,18.90909090909091
2024-10-02,2024-10-08,usa,0,12,0,18.416666666666668
2024-10-09,2024-10-15,usa,0,10,0,9.7
2024-10-16,2024-10-22,usa,0,21,0,10.904761904761905
2024-10-23,2024-10-29,usa,0,15,0,9.533333333333333
2024-10-30,2024-11-05,usa,0,11,0,12.363636363636363
2024-11-06,2024-11-12,usa,0,22,0,8.954545454545453
2024-11-13,2024-11-19,usa,0,24,0,16.541666666666664
2024-11-20,2024-11-26,usa,0,8,0,18.625
2024-11-27,2024-12-03,usa,0,12,0,10.833333333333334
2024-12-04,2024-12-10,usa,0,22,0,14
2024-12-11,2024-12-17,usa,0,13,0,17.307692307692307
2024-12-18,2024-12-24,usa,0,13,0,15.615384615384615
2025-01-01,2025-01-07,usa,0,9,0,17.444444444444443
2025-01-08,2025-01-14,usa,0,12,0,22
2025-01-15,2025-01-21,usa,0,3,0,59
2025-01-29,2025-02-04,usa,0,1,0,91
2025-02-05,2025-02-11,usa,0,1,0,4
2025-02-12,2025-02-18,usa,0,3,0,33.333333333333336
2025-02-19,2025-02-25,usa,0,2,0,69.5
2025-03-05,2025-03-11,usa,0,1,0,92
2025-03-12,2025-03-18,usa,0,3,0,90
2025-04-02,2025-04-08,usa,0,2,0,68
2025-04-16,2025-04-22,usa,0,2,0,71.5
2025-04-30,2025-05-06,usa,0,3,0,83.66666666666667
2025-05-07,2025-05-13,usa,0,13,0,80.61538461538461
2025-05-14,2025-05-20,usa,0,17,0,47.1764705882353
2025-05-21,2025-05-27,usa,0,13,0,66.46153846153847
2025-05-28,2025-06-03,usa,0,9,0,69.22222222222223
2025-06-04,2025-06-10,usa,0,11,0,60.54545454545455
2025-06-11,2025-06-17,usa,0,8,0,74.5
2025-06-18,2025-06-24,usa,0,7,0,79.42857142857143
2025-07-02,2025-07-08,usa,0,3,0,89
2025-07-09,2025-07-15,usa,0,8,0,48.125
2025-07-16,2025-07-22,usa,0,3,0,81
2025-07-23,2025-07-29,usa,0,7,0,61.142857142857146
2025-07-30,2025-08-05,usa,0,7,0,56.142857142857146
2025-08-06,2025-08-12,usa,0,7,0,58.857142857142854
2025-08-13,2025-08-19,usa,0,6,0,86.33333333333333
