start_date,end_date,country,clicks,impressions,ctr,position
2024-05-15,2024-05-21,usa,0,2,0,51.5
2024-05-22,2024-05-28,usa,0,8,0,130.625
2024-05-29,2024-06-04,usa,0,31,0,96.25806451612904
2024-06-05,2024-06-11,usa,0,13,0,73.07692307692308
2024-06-12,2024-06-18,usa,0,11,0,62.09090909090909
2024-06-19,2024-06-25,usa,0,10,0,88.2
2024-06-26,2024-07-02,usa,0,19,0,92.94736842105263
2024-07-03,2024-07-09,usa,0,23,0,110.3913043478261
2024-07-10,2024-07-16,usa,0,23,0,85.69565217391305
2024-07-17,2024-07-23,usa,0,29,0,90.51724137931035
2024-07-24,2024-07-30,usa,0,31,0,73.48387096774194
2024-07-31,2024-08-06,usa,0,14,0,45.07142857142857
2024-08-07,2024-08-13,usa,0,29,0,60.6551724137931
2024-08-14,2024-08-20,usa,0,13,0,48.92307692307692
2024-08-21,2024-08-27,usa,0,2,0,8
2024-10-16,2024-10-22,usa,0,6,0,9
2024-10-23,2024-10-29,usa,0,4,0,4.75
2024-10-30,2024-11-05,usa,0,3,0,7.333333333333333
2024-11-06,2024-11-12,usa,0,6,0,5.166666666666667
2024-11-13,2024-11-19,usa,0,2,0,7
2024-11-20,2024-11-26,usa,0,2,0,9.5
2024-11-27,2024-12-03,usa,0,3,0,9
2024-12-11,2024-12-17,usa,0,3,0,3.3333333333333335
2024-12-18,2024-12-24,usa,0,6,0,6.666666666666667
2024-12-25,2024-12-31,usa,0,1,0,10
2025-01-01,2025-01-07,usa,0,2,0,7.5
2025-01-08,2025-01-14,usa,0,3,0,8.333333333333332
2025-01-15,2025-01-21,usa,0,5,0,6.2
2025-01-22,2025-01-28,usa,0,1,0,11
