start_date,end_date,country,clicks,impressions,ctr,position
2024-05-22,2024-05-28,usa,0,4,0,46
2024-05-29,2024-06-04,usa,0,5,0,7.4
2024-06-05,2024-06-11,usa,0,3,0,6.333333333333333
2024-06-12,2024-06-18,usa,0,2,0,22
2024-06-19,2024-06-25,usa,0,3,0,52
2024-06-26,2024-07-02,usa,0,10,0,60.2
2024-07-03,2024-07-09,usa,0,8,0,73.5
2024-07-10,2024-07-16,usa,0,4,0,22.75
2024-07-17,2024-07-23,usa,0,4,0,34.25
2024-07-24,2024-07-30,usa,0,2,0,5
2024-07-31,2024-08-06,usa,0,7,0,23.571428571428573
2024-08-07,2024-08-13,usa,0,8,0,9.375
2024-08-14,2024-08-20,usa,0,10,0,15.6
2024-08-21,2024-08-27,usa,0,6,0,8.666666666666668
2024-08-28,2024-09-03,usa,0,8,0,11.625
2024-09-04,2024-09-10,usa,0,8,0,10.875
2024-09-11,2024-09-17,usa,0,4,0,9.5
2024-09-18,2024-09-24,usa,0,1,0,13
2024-09-25,2024-10-01,usa,0,2,0,10
2024-10-16,2024-10-22,usa,0,6,0,9
2024-10-23,2024-10-29,usa,0,4,0,4.75
2024-10-30,2024-11-05,usa,0,3,0,7.333333333333333
2024-11-06,2024-11-12,usa,0,6,0,5.166666666666667
2024-11-13,2024-11-19,usa,0,3,0,6
2024-11-20,2024-11-26,usa,0,2,0,9.5
2024-11-27,2024-12-03,usa,0,5,0,15
2024-12-04,2024-12-10,usa,0,1,0,26
2024-12-11,2024-12-17,usa,0,4,0,8.5
2024-12-18,2024-12-24,usa,0,6,0,6.666666666666667
2024-12-25,2024-12-31,usa,0,8,0,12.5
2025-01-01,2025-01-07,usa,0,4,0,12.25
2025-01-08,2025-01-14,usa,0,4,0,11.75
2025-01-15,2025-01-21,usa,0,8,0,10.5
2025-01-22,2025-01-28,usa,0,7,0,9.142857142857142
2025-01-29,2025-02-04,usa,0,8,0,9.375
2025-02-05,2025-02-11,usa,0,1,0,11
2025-02-19,2025-02-25,usa,0,5,0,30.2
2025-02-26,2025-03-04,usa,0,1,0,37
2025-03-05,2025-03-11,usa,0,7,0,46
2025-03-12,2025-03-18,usa,0,1,0,16
2025-03-19,2025-03-25,usa,0,3,0,46.333333333333336
2025-03-26,2025-04-01,usa,0,8,0,27.5
2025-04-02,2025-04-08,usa,0,10,0,50.3
2025-04-09,2025-04-15,usa,0,15,0,37.733333333333334
2025-04-16,2025-04-22,usa,0,20,0,48.35
2025-04-23,2025-04-29,usa,0,25,0,75.76
2025-04-30,2025-05-06,usa,0,89,0,61.764044943820224
2025-05-07,2025-05-13,usa,0,99,0,57.505050505050505
2025-05-14,2025-05-20,usa,0,25,0,36.32
2025-05-21,2025-05-27,usa,0,41,0,51.31707317073171
2025-05-28,2025-06-03,usa,0,11,0,52.72727272727273
2025-06-04,2025-06-10,usa,0,7,0,45.142857142857146
2025-06-11,2025-06-17,usa,0,101,0,49.21782178217822
2025-06-18,2025-06-24,usa,0,105,0,50.08571428571429
2025-06-25,2025-07-01,usa,0,17,0,58
2025-07-02,2025-07-08,usa,0,73,0,49.73972602739726
2025-07-09,2025-07-15,usa,0,114,0,50.00877192982456
2025-07-16,2025-07-22,usa,0,41,0,54.853658536585364
2025-07-23,2025-07-29,usa,0,34,0,54.35294117647059
2025-07-30,2025-08-05,usa,0,32,0,65.75
2025-08-06,2025-08-12,usa,0,59,0,54.79661016949152
2025-08-13,2025-08-19,usa,0,20,0,51.9
2025-08-20,2025-08-20,usa,0,1,0,52
